STRUCT_ID	DRUG_NAME	GENE	ATC_CODE	TARGET_CLASS	TDL	Entrez
137	alprenolol	ADRB2	C07AA01	GPCR	Tclin	154
138	alprostadil	CATSPER4	C01EA01, G04BE01	Ion channel	Tchem	378807
138	alprostadil	CATSPER3	C01EA01, G04BE01	Ion channel	Tchem	347732
138	alprostadil	CATSPER1	C01EA01, G04BE01	Ion channel	Tchem	117144
138	alprostadil	CATSPER2	C01EA01, G04BE01	Ion channel	Tchem	117155
138	alprostadil	PTGER4	C01EA01, G04BE01	GPCR	Tclin	5734
138	alprostadil	PTGER2	C01EA01, G04BE01	GPCR	Tclin	5732
138	alprostadil	PTGER3	C01EA01, G04BE01	GPCR	Tclin	5733
138	alprostadil	PTGER1	C01EA01, G04BE01	GPCR	Tclin	5731
138	alprostadil	PTGDR	C01EA01, G04BE01	GPCR	Tclin	5729
138	alprostadil	PTGIR	C01EA01, G04BE01	GPCR	Tclin	5739
141	altretamine	CYP1A2	L01XX03	Enzyme	Tchem	1544
143	alvimopan	OPRM1	A06AH02	GPCR	Tclin	4988
143	alvimopan	OPRK1	A06AH02	GPCR	Tclin	4986
143	alvimopan	OPRD1	A06AH02	GPCR	Tclin	4985
144	amantadine	SIGMAR1	N04BB01	Membrane receptor	Tclin	10280
144	amantadine	SLC47A1	N04BB01	Transporter	Tchem	55244
144	amantadine	GRIN1	N04BB01	Ion channel	Tclin	2902
144	amantadine	GRIN2A	N04BB01	Ion channel	Tclin	2903
144	amantadine	GRIN2B	N04BB01	Ion channel	Tclin	2904
144	amantadine	GRIN2C	N04BB01	Ion channel	Tclin	2905
144	amantadine	GRIN2D	N04BB01	Ion channel	Tclin	2906
144	amantadine	GRIN3A	N04BB01	Ion channel	Tclin	116443
144	amantadine	GRIN3B	N04BB01	Ion channel	Tclin	116444
146	ambenonium	ACHE	N07AA30	Enzyme	Tclin	43
147	ambroxol	SLC6A4	R05CB06, R03CC63	Transporter	Tclin	6532
147	ambroxol	CYP2D6	R05CB06, R03CC63	Enzyme	Tclin	1565
147	ambroxol	SCN10A	R05CB06, R03CC63	Ion channel	Tclin	6336
147	ambroxol	GBA	R05CB06, R03CC63	Enzyme	Tclin	2629
150	amcinonide	NR3C1	D07AC11	Nuclear hormone receptor	Tclin	2908
156	amifostine	ALPL	V03AF05	Enzyme	Tchem	249
156	amifostine	DRD3	V03AF05	GPCR	Tclin	1814
158	amiloride	MAOA	C03DB01	Enzyme	Tclin	4128
158	amiloride	SCNN1A	C03DB01	Ion channel	Tclin	6337
158	amiloride	SCNN1B	C03DB01	Ion channel	Tclin	6338
158	amiloride	SCNN1G	C03DB01	Ion channel	Tclin	6340
158	amiloride	SCNN1A	C03DB01	Ion channel	Tclin	6337
158	amiloride	ASIC1	C03DB01	Ion channel	Tchem	41
158	amiloride	SLC22A1	C03DB01	Transporter	Tchem	6580
158	amiloride	ASIC3	C03DB01	Ion channel	Tchem	9311
158	amiloride	SLC9A1	C03DB01	Transporter	Tchem	6548
158	amiloride	ADORA2A	C03DB01	GPCR	Tclin	135
158	amiloride	PLAU	C03DB01	Enzyme	Tchem	5328
163	aminocaproic acid	PLG	B02AA01	Enzyme	Tclin	5340
163	aminocaproic acid	PLAT	B02AA01	Enzyme	Tclin	5327
164	aminoglutethimide	CYP19A1	L02BG01	Enzyme	Tclin	1588
164	aminoglutethimide	TBXAS1	L02BG01	Enzyme	Tchem	6916
164	aminoglutethimide	CYP11A1	L02BG01	Enzyme	Tclin	1583
165	aminohippuric acid	SLC22A6	V04CH30	Transporter	Tclin	9356
171	aminophenazone	PTGS1	N02BB03, N02BB53, N02BB73	Enzyme	Tclin	5742
171	aminophenazone	PTGS2	N02BB03, N02BB53, N02BB73	Enzyme	Tclin	5743
176	amiodarone	OPRM1	C01BD01	GPCR	Tclin	4988
176	amiodarone	DRD1	C01BD01	GPCR	Tclin	1812
176	amiodarone	DRD2	C01BD01	GPCR	Tclin	1813
176	amiodarone	SLC6A4	C01BD01	Transporter	Tclin	6532
176	amiodarone	SLC6A2	C01BD01	Transporter	Tclin	6530
176	amiodarone	HTR2A	C01BD01	GPCR	Tclin	3356
176	amiodarone	HTR2B	C01BD01	GPCR	Tclin	3357
176	amiodarone	HTR2C	C01BD01	GPCR	Tclin	3358
176	amiodarone	HTR6	C01BD01	GPCR	Tchem	3362
176	amiodarone	ADRA2B	C01BD01	GPCR	Tclin	151
176	amiodarone	DRD3	C01BD01	GPCR	Tclin	1814
176	amiodarone	HRH2	C01BD01	GPCR	Tclin	3274
176	amiodarone	CHRM1	C01BD01	GPCR	Tclin	1128
176	amiodarone	CHRM2	C01BD01	GPCR	Tclin	1129
176	amiodarone	CHRM3	C01BD01	GPCR	Tclin	1131
176	amiodarone	CHRM4	C01BD01	GPCR	Tclin	1132
176	amiodarone	CHRM5	C01BD01	GPCR	Tclin	1133
176	amiodarone	ADRB3	C01BD01	GPCR	Tclin	155
176	amiodarone	SLC6A3	C01BD01	Transporter	Tclin	6531
176	amiodarone	ADORA3	C01BD01	GPCR	Tchem	140
176	amiodarone	DRD4	C01BD01	GPCR	Tchem	1815
176	amiodarone	OPRK1	C01BD01	GPCR	Tclin	4986
176	amiodarone	OPRD1	C01BD01	GPCR	Tclin	4985
176	amiodarone	EDNRA	C01BD01	GPCR	Tclin	1909
176	amiodarone	FYN	C01BD01	Kinase	Tclin	2534
176	amiodarone	ERBB2	C01BD01	Kinase	Tclin	2064
176	amiodarone	CCR2	C01BD01	GPCR	Tchem	729230
176	amiodarone	TACR2	C01BD01	GPCR	Tchem	6865
176	amiodarone	BDKRB2	C01BD01	GPCR	Tclin	624
176	amiodarone	MC4R	C01BD01	GPCR	Tclin	4160
176	amiodarone	MC5R	C01BD01	GPCR	Tchem	4161
176	amiodarone	MC3R	C01BD01	GPCR	Tchem	4159
176	amiodarone	CCR4	C01BD01	GPCR	Tclin	1233
176	amiodarone	SCN5A	C01BD01	Ion channel	Tclin	6331
176	amiodarone	KCNH2	C01BD01	Ion channel	Tclin	3757
176	amiodarone	ADRA2A	C01BD01	GPCR	Tclin	150
176	amiodarone	SIGMAR1	C01BD01	Membrane receptor	Tclin	10280
176	amiodarone	THRB	C01BD01	Nuclear hormone receptor	Tclin	7068
176	amiodarone	THRA	C01BD01	Nuclear hormone receptor	Tclin	7067
176	amiodarone	EBP	C01BD01	Enzyme	Tchem	10682
176	amiodarone	CYP3A4	C01BD01	Enzyme	Tclin	1576
176	amiodarone	KCNA7	C01BD01	Ion channel	Tclin	3743
176	amiodarone	ABCB1	C01BD01	Transporter	Tchem	5243
176	amiodarone	ADRB1	C01BD01	GPCR	Tclin	153
176	amiodarone	HCN4	C01BD01	Ion channel	Tclin	10021
176	amiodarone	CACNA1H	C01BD01	Ion channel	Tclin	8912
176	amiodarone	CYP2C9	C01BD01	Enzyme	Tchem	1559
176	amiodarone	SQLE	C01BD01	Enzyme	Tchem	6713
176	amiodarone	FDFT1	C01BD01	Enzyme	Tchem	2222
179	amisulpride	DRD3	N05AL05	GPCR	Tclin	1814
179	amisulpride	DRD2	N05AL05	GPCR	Tclin	1813
179	amisulpride	HTR2B	N05AL05	GPCR	Tclin	3357
179	amisulpride	HTR7	N05AL05	GPCR	Tclin	3363
179	amisulpride	ADRA2A	N05AL05	GPCR	Tclin	150
179	amisulpride	HTR1D	N05AL05	GPCR	Tclin	3352
179	amisulpride	ADRA2C	N05AL05	GPCR	Tclin	152
179	amisulpride	HTR1B	N05AL05	GPCR	Tclin	3351
179	amisulpride	DRD4	N05AL05	GPCR	Tchem	1815
179	amisulpride	HTR6	N05AL05	GPCR	Tchem	3362
179	amisulpride	HTR2A	N05AL05	GPCR	Tclin	3356
180	amitriptyline	ADRA2A	N06AA09, N06CA01	GPCR	Tclin	150
180	amitriptyline	ADRA2C	N06AA09, N06CA01	GPCR	Tclin	152
180	amitriptyline	ADRA1D	N06AA09, N06CA01	GPCR	Tclin	146
180	amitriptyline	SCN5A	N06AA09, N06CA01	Ion channel	Tclin	6331
180	amitriptyline	SLC6A3	N06AA09, N06CA01	Transporter	Tclin	6531
180	amitriptyline	SLC22A1	N06AA09, N06CA01	Transporter	Tchem	6580
180	amitriptyline	SCN9A	N06AA09, N06CA01	Ion channel	Tclin	6335
180	amitriptyline	SCN2A	N06AA09, N06CA01	Ion channel	Tclin	6326
180	amitriptyline	HTR2C	N06AA09, N06CA01	GPCR	Tclin	3358
180	amitriptyline	HTR2A	N06AA09, N06CA01	GPCR	Tclin	3356
180	amitriptyline	SLC6A2	N06AA09, N06CA01	Transporter	Tclin	6530
180	amitriptyline	SLC6A4	N06AA09, N06CA01	Transporter	Tclin	6532
180	amitriptyline	SLC22A2	N06AA09, N06CA01	Transporter	Tchem	6582
180	amitriptyline	HRH4	N06AA09, N06CA01	GPCR	Tchem	59340
180	amitriptyline	ADRA2B	N06AA09, N06CA01	GPCR	Tclin	151
180	amitriptyline	ADRA1A	N06AA09, N06CA01	GPCR	Tclin	148
180	amitriptyline	HTR6	N06AA09, N06CA01	GPCR	Tchem	3362
180	amitriptyline	HTR2B	N06AA09, N06CA01	GPCR	Tclin	3357
180	amitriptyline	DRD1	N06AA09, N06CA01	GPCR	Tclin	1812
180	amitriptyline	SIGMAR1	N06AA09, N06CA01	Membrane receptor	Tclin	10280
180	amitriptyline	CHRM5	N06AA09, N06CA01	GPCR	Tclin	1133
180	amitriptyline	CHRM4	N06AA09, N06CA01	GPCR	Tclin	1132
180	amitriptyline	CHRM3	N06AA09, N06CA01	GPCR	Tclin	1131
180	amitriptyline	CHRM2	N06AA09, N06CA01	GPCR	Tclin	1129
180	amitriptyline	CHRM1	N06AA09, N06CA01	GPCR	Tclin	1128
180	amitriptyline	HRH2	N06AA09, N06CA01	GPCR	Tclin	3274
180	amitriptyline	HRH1	N06AA09, N06CA01	GPCR	Tclin	3269
180	amitriptyline	DRD5	N06AA09, N06CA01	GPCR	Tchem	1816
180	amitriptyline	DRD3	N06AA09, N06CA01	GPCR	Tclin	1814
180	amitriptyline	HTR7	N06AA09, N06CA01	GPCR	Tclin	3363
180	amitriptyline	HTR1A	N06AA09, N06CA01	GPCR	Tclin	3350
180	amitriptyline	DRD2	N06AA09, N06CA01	GPCR	Tclin	1813
180	amitriptyline	KCNH2	N06AA09, N06CA01	Ion channel	Tclin	3757
180	amitriptyline	NTRK1	N06AA09, N06CA01	Kinase	Tclin	4914
180	amitriptyline	RET	N06AA09, N06CA01	Kinase	Tclin	5979
182	amlexanox	PDE4A	A01AD07, R03DX01	Enzyme	Tclin	5141
182	amlexanox	PDE4B	A01AD07, R03DX01	Enzyme	Tclin	5142
182	amlexanox	PDE4C	A01AD07, R03DX01	Enzyme	Tclin	5143
182	amlexanox	PDE4D	A01AD07, R03DX01	Enzyme	Tclin	5144
182	amlexanox	IKBKE	A01AD07, R03DX01	Kinase	Tchem	9641
182	amlexanox	TBK1	A01AD07, R03DX01	Kinase	Tchem	29110
183	amlodipine	CACNA1D	C08CA01, C07FB07, C07FB12, C07FB13, C08CA51, C08GA02, C09BB03, C09BB04, C09BB07, C09BX01, C09BX03, C09BX04, C09DB01, C09DB02, C09DB04, C09DB05, C09DB06, C09DB07, C09DB09, C09DX01, C09DX03, C09DX06, C09DX07, C09XA53, C09XA54, C10BX03, C10BX07, C10BX09, C10BX11, C10BX14, C10BX18	Ion channel	Tclin	776
183	amlodipine	CACNA1C	C08CA01, C07FB07, C07FB12, C07FB13, C08CA51, C08GA02, C09BB03, C09BB04, C09BB07, C09BX01, C09BX03, C09BX04, C09DB01, C09DB02, C09DB04, C09DB05, C09DB06, C09DB07, C09DB09, C09DX01, C09DX03, C09DX06, C09DX07, C09XA53, C09XA54, C10BX03, C10BX07, C10BX09, C10BX11, C10BX14, C10BX18	Ion channel	Tclin	775
183	amlodipine	ADRA2A	C08CA01, C07FB07, C07FB12, C07FB13, C08CA51, C08GA02, C09BB03, C09BB04, C09BB07, C09BX01, C09BX03, C09BX04, C09DB01, C09DB02, C09DB04, C09DB05, C09DB06, C09DB07, C09DB09, C09DX01, C09DX03, C09DX06, C09DX07, C09XA53, C09XA54, C10BX03, C10BX07, C10BX09, C10BX11, C10BX14, C10BX18	GPCR	Tclin	150
