drugName	score	gene_name	expert	Entrez
RESINIFERATOXIN	3.04	TRPV1	yes	7442
PHE377	3.04	TRPV1	yes	7442
ABT-102	3.04	TRPV1	yes	7442
MR-1817	3.04	TRPV1	yes	7442
ACETAMINOPHEN	0.19	TRPV1	yes	7442
SB-705498	1.52	TRPV1	yes	7442
DWP05195	3.04	TRPV1	yes	7442
GRC-6211	1.52	TRPV1	yes	7442
AMG-517	1.52	TRPV1	yes	7442
JTS-653	1.52	TRPV1	yes	7442
MAVATREP	3.04	TRPV1	yes	7442
NGD-8243	3.04	TRPV1	yes	7442
CAPSAICIN	0.66	TRPV1	yes	7442
PAC-14028	3.04	TRPV1	yes	7442
ZUCAPSAICIN	0.76	TRPV1	yes	7442
SAF312	1.52	TRPV1	yes	7442
ISTAROXIME	5.32	ATP1A1	yes	476
DIGITOXIN	2.95	ATP1A1	yes	476
ACETYLDIGITOXIN	3.99	ATP1A1	yes	476
ALMITRINE	42.53	ATP1A1	yes	476
BEPRIDIL	3.38	ATP1A1	yes	476
DESLANOSIDE	4.13	ATP1A1	yes	476
DIGOXIN	1.41	ATP1A1	yes	476
OUABAIN	5.32	ATP1A1	yes	476
DABRAFENIB	0.84	EZH2	yes	2146
SUMATRIPTAN	0.1	HTR1A	yes	3350
FLIBANSERIN	0.41	HTR1A	yes	3350
PARDOPRUNOX	0.17	HTR1A	yes	3350
ZIPRASIDONE	0.29	HTR1A	yes	3350
ERGOLOID MESYLATES	0.05	HTR1A	yes	3350
SARIZOTAN HYDROCHLORIDE	0.15	HTR1A	yes	3350
BREXPIPRAZOLE	0.49	HTR1A	yes	3350
CLOZAPINE	0.09	HTR1A	yes	3350
LISURIDE	0.34	HTR1A	yes	3350
ILOPERIDONE	0.12	HTR1A	yes	3350
VILAZODONE	0.43	HTR1A	yes	3350
BIFEPRUNOX	0.51	HTR1A	yes	3350
QUETIAPINE	0.18	HTR1A	yes	3350
VILAZODONE HYDROCHLORIDE	0.3	HTR1A	yes	3350
PICLOZOTAN	0.61	HTR1A	yes	3350
ROBALZOTAN	2.43	HTR1A	yes	3350
NARATRIPTAN	0.49	HTR1A	yes	3350
MIRTAZAPINE	0.03	HTR1A	yes	3350
LECOZOTAN HYDROCHLORIDE	0.61	HTR1A	yes	3350
OLANZAPINE	0.05	HTR1A	yes	3350
NALUZOTAN	3.04	HTR1A	yes	3350
VORTIOXETINE	0.27	HTR1A	yes	3350
ARIPIPRAZOLE	0.38	HTR1A	yes	3350
TRAZODONE	0.3	HTR1A	yes	3350
ZOLMITRIPTAN	0.51	HTR1A	yes	3350
ASENAPINE	0.12	HTR1A	yes	3350
LURASIDONE	0.41	HTR1A	yes	3350
BUSPIRONE HYDROCHLORIDE	0.2	HTR1A	yes	3350
GSK163090	0.15	HTR1A	yes	3350
GEPIRONE	1.22	HTR1A	yes	3350
VORTIOXETINE HYDROBROMIDE	0.2	HTR1A	yes	3350
ARIPIPRAZOLE LAUROXIL	0.2	HTR1A	yes	3350
OSEMOZOTAN	1.82	HTR1A	yes	3350
BUSPIRONE	0.95	HTR1A	yes	3350
BEFIRADOL	0.61	HTR1A	yes	3350
XALIPRODEN	1.22	HTR1A	yes	3350
ROTIGOTINE	0.3	HTR1A	yes	3350
METHYSERGIDE	0.25	HTR1A	yes	3350
ANDROGRAPHOLIDE	0.71	NFKB1	yes	4790
BORTEZOMIB	0.01	NFKB1	yes	4790
BARDOXOLONE	0.24	NFKB1	yes	4790
THALIDOMIDE	0.08	NFKB1	yes	4790
ALEFACEPT	106.32	CD2	yes	914
SIPLIZUMAB	63.79	CD2	yes	914
PSEUDOEPHEDRINE	0.11	ADRB2	yes	154
NEBIVOLOL HYDROCHLORIDE	0.23	ADRB2	yes	154
PROPAFENONE HYDROCHLORIDE	0.03	ADRB2	yes	154
LY377604	0.15	ADRB2	yes	154
TIMOLOL	1.69	ADRB2	yes	154
CLENBUTEROL	5.08	ADRB2	yes	154
BITOLTEROL MESYLATE	0.46	ADRB2	yes	154
VILANTEROL TRIFENATATE	0.46	ADRB2	yes	154
BATEFENTEROL	0.31	ADRB2	yes	154
PF-00610355	0.46	ADRB2	yes	154
ISOPROTERENOL HYDROCHLORIDE	0.18	ADRB2	yes	154
EPINEPHRINE	0.14	ADRB2	yes	154
EPINEPHRINE BITARTRATE	0.06	ADRB2	yes	154
TIMOLOL MALEATE	0.23	ADRB2	yes	154
MILVETEROL	0.92	ADRB2	yes	154
GSK159802	0.46	ADRB2	yes	154
ALBUTEROL	1.62	ADRB2	yes	154
PROTOKYLOL HYDROCHLORIDE	0.46	ADRB2	yes	154
LEVOBUNOLOL HYDROCHLORIDE	0.23	ADRB2	yes	154
AZD3199	1.39	ADRB2	yes	154
METAPROTERENOL	4.62	ADRB2	yes	154
NADOLOL	1.11	ADRB2	yes	154
CARTEOLOL	1.62	ADRB2	yes	154
ALPRENOLOL	1.85	ADRB2	yes	154
SALMETEROL XINAFOATE	0.13	ADRB2	yes	154
ISOETHARINE HYDROCHLORIDE	0.46	ADRB2	yes	154
PROPRANOLOL HYDROCHLORIDE	0.15	ADRB2	yes	154
LABETALOL HYDROCHLORIDE	0.05	ADRB2	yes	154
DROXIDOPA	0.35	ADRB2	yes	154
RITODRINE HYDROCHLORIDE	0.23	ADRB2	yes	154
DOBUTAMINE HYDROCHLORIDE	0.12	ADRB2	yes	154
ISOETHARINE MESYLATE	0.23	ADRB2	yes	154
CARVEDILOL	0.34	ADRB2	yes	154
PENBUTOLOL SULFATE	0.23	ADRB2	yes	154
DESIPRAMINE	0.2	ADRB2	yes	154
PIRBUTEROL ACETATE	0.46	ADRB2	yes	154
DIPIVEFRIN HYDROCHLORIDE	0.12	ADRB2	yes	154
LAS190792	0.23	ADRB2	yes	154
METIPRANOLOL	1.23	ADRB2	yes	154
SALMETEROL	2.08	ADRB2	yes	154
SOTALOL HYDROCHLORIDE	0.12	ADRB2	yes	154
ISOPROTERENOL	0.32	ADRB2	yes	154
OLODATEROL	1.85	ADRB2	yes	154
ALBUTEROL SULFATE	0.46	ADRB2	yes	154
CARVEDILOL PHOSPHATE	0.09	ADRB2	yes	154
TERBUTALINE	6.47	ADRB2	yes	154
CARTEOLOL HYDROCHLORIDE	0.15	ADRB2	yes	154
PINDOLOL	1	ADRB2	yes	154
ARFORMOTEROL	1.39	ADRB2	yes	154
ABEDITEROL	0.46	ADRB2	yes	154
LEVALBUTEROL HYDROCHLORIDE	0.46	ADRB2	yes	154
FORMOTEROL	2.62	ADRB2	yes	154
BEDORADRINE SULFATE	1.39	ADRB2	yes	154
LABETALOL	0.36	ADRB2	yes	154
OXPRENOLOL HYDROCHLORIDE	0.23	ADRB2	yes	154
NOREPINEPHRINE BITARTRATE	0.07	ADRB2	yes	154
BUCINDOLOL	0.31	ADRB2	yes	154
PROCATEROL	2.31	ADRB2	yes	154
MEPHENTERMINE SULFATE	0.06	ADRB2	yes	154
METIPRANOLOL HYDROCHLORIDE	0.23	ADRB2	yes	154
BAMOSIRAN	0.46	ADRB2	yes	154
ESMOLOL HYDROCHLORIDE	0.23	ADRB2	yes	154
PENBUTOLOL	1.85	ADRB2	yes	154
ARFORMOTEROL TARTRATE	0.46	ADRB2	yes	154
FENOTEROL	5.08	ADRB2	yes	154
OLODATEROL HYDROCHLORIDE	0.46	ADRB2	yes	154
CARMOTEROL	0.92	ADRB2	yes	154
OXPRENOLOL	1.62	ADRB2	yes	154
PROPRANOLOL	0.3	ADRB2	yes	154
HYDROXYAMPHETAMINE HYDROBROMIDE	0.05	ADRB2	yes	154
TERBUTALINE SULFATE	0.46	ADRB2	yes	154
METAPROTERENOL SULFATE	0.46	ADRB2	yes	154
RITODRINE	2.31	ADRB2	yes	154
LEVOBUNOLOL	1.54	ADRB2	yes	154
VILANTEROL	1.39	ADRB2	yes	154
INDACATEROL MALEATE	0.46	ADRB2	yes	154
INDACATEROL	0.58	ADRB2	yes	154
TRIMIPRAMINE MALEATE	0.12	ADRA1B	yes	147
NAPHAZOLINE HYDROCHLORIDE	0.14	ADRA1B	yes	147
PHENOXYBENZAMINE HYDROCHLORIDE	0.09	ADRA1B	yes	147
TERAZOSIN	0.57	ADRA1B	yes	147
PHENYLEPHRINE HYDROCHLORIDE	0.27	ADRA1B	yes	147
OXYMETAZOLINE HYDROCHLORIDE	0.12	ADRA1B	yes	147
EPINEPHRINE	0.19	ADRA1B	yes	147
EPINEPHRINE BITARTRATE	0.05	ADRA1B	yes	147
LEVOMEPROMAZINE	0.23	ADRA1B	yes	147
TETRAHYDROZOLINE HYDROCHLORIDE	0.14	ADRA1B	yes	147
NEFAZODONE	0.37	ADRA1B	yes	147
SENREBOTASE	0.14	ADRA1B	yes	147
ERGOLOID MESYLATES	0.07	ADRA1B	yes	147
DAPIPRAZOLE	1.23	ADRA1B	yes	147
PERICIAZINE	0.98	ADRA1B	yes	147
ALSEROXYLON	0.14	ADRA1B	yes	147
BETHANIDINE	0.2	ADRA1B	yes	147
MIDODRINE	0.35	ADRA1B	yes	147
DOXAZOSIN	1.47	ADRA1B	yes	147
SERTINDOLE	0.13	ADRA1B	yes	147
QUETIAPINE	0.08	ADRA1B	yes	147
PHENTOLAMINE MESYLATE	0.1	ADRA1B	yes	147
LABETALOL HYDROCHLORIDE	0.09	ADRA1B	yes	147
METHOXAMINE HYDROCHLORIDE	0.41	ADRA1B	yes	147
LISDEXAMFETAMINE	0.82	ADRA1B	yes	147
DROXIDOPA	0.51	ADRA1B	yes	147
METHAMPHETAMINE	0.06	ADRA1B	yes	147
RAUWOLFIA SERPENTINA	0.16	ADRA1B	yes	147
METARAMINOL BITARTRATE	0.41	ADRA1B	yes	147
PROPIOMAZINE	0.23	ADRA1B	yes	147
CARVEDILOL	0.09	ADRA1B	yes	147
DEBRISOQUIN	0.27	ADRA1B	yes	147
DOXAZOSIN MESYLATE	0.16	ADRA1B	yes	147
PHENYLEPHRINE	0.29	ADRA1B	yes	147
DIPIVEFRIN HYDROCHLORIDE	0.1	ADRA1B	yes	147
TAMSULOSIN HYDROCHLORIDE	0.27	ADRA1B	yes	147
PRAZOSIN	0.68	ADRA1B	yes	147
OLANZAPINE	0.07	ADRA1B	yes	147
LISDEXAMFETAMINE DIMESYLATE	0.2	ADRA1B	yes	147
METHOXAMINE	2.73	ADRA1B	yes	147
TOLAZOLINE HYDROCHLORIDE	0.1	ADRA1B	yes	147
TERAZOSIN HYDROCHLORIDE HYDRATE	0.27	ADRA1B	yes	147
TRAZODONE	0.06	ADRA1B	yes	147
CARVEDILOL PHOSPHATE	0.16	ADRA1B	yes	147
TAMSULOSIN	1.23	ADRA1B	yes	147
NOREPINEPHRINE	0.36	ADRA1B	yes	147
PHENYLEPHRINE BITARTRATE	0.41	ADRA1B	yes	147
PHENDIMETRAZINE	3.68	ADRA1B	yes	147
PRAZOSIN HYDROCHLORIDE	0.1	ADRA1B	yes	147
LABETALOL	0.13	ADRA1B	yes	147
ALFUZOSIN HYDROCHLORIDE	0.27	ADRA1B	yes	147
NOREPINEPHRINE BITARTRATE	0.06	ADRA1B	yes	147
MEPHENTERMINE SULFATE	0.1	ADRA1B	yes	147
PROMAZINE	0.18	ADRA1B	yes	147
HYDROXYAMPHETAMINE HYDROBROMIDE	0.09	ADRA1B	yes	147
ALFUZOSIN	1.64	ADRA1B	yes	147
MIDODRINE HYDROCHLORIDE	0.41	ADRA1B	yes	147
NIFEDIPINE	0.1	CACNA1F	yes	778
GABAPENTIN	0.09	CACNA1F	yes	778
DRONEDARONE HYDROCHLORIDE	0.17	CACNA1F	yes	778
NICARDIPINE HYDROCHLORIDE	0.3	CACNA1F	yes	778
DILTIAZEM MALATE	0.66	CACNA1F	yes	778
IMAGABALIN	0.11	CACNA1F	yes	778
AZD1305	0.44	CACNA1F	yes	778
AMLODIPINE BESYLATE	0.53	CACNA1F	yes	778
CLEVIDIPINE	1.33	CACNA1F	yes	778
NIMODIPINE	1	CACNA1F	yes	778
NISOLDIPINE	0.18	CACNA1F	yes	778
GABAPENTIN ENACARBIL	0.11	CACNA1F	yes	778
PREGABALIN	0.11	CACNA1F	yes	778
AMLODIPINE MALEATE	0.66	CACNA1F	yes	778
FELODIPINE	0.19	CACNA1F	yes	778
ATAGABALIN	0.11	CACNA1F	yes	778
BEPRIDIL HYDROCHLORIDE	0.11	CACNA1F	yes	778
VERAPAMIL HYDROCHLORIDE	0.38	CACNA1F	yes	778
DILTIAZEM HYDROCHLORIDE	0.53	CACNA1F	yes	778
ISRADIPINE	0.76	CACNA1F	yes	778
ELPETRIGINE	0.33	CACNA1F	yes	778
VERAPAMIL	0.19	CACNA1F	yes	778
SAPANISERTIB	0	NFE2L2	yes	4780
