act_id,struct_id,target_id,target_name,target_class,accession,gene,swissprot,act_value,act_unit,act_type,act_comment,act_source,relation,moa,moa_source,act_source_url,moa_source_url,action_type,first_in_class,tdl,act_ref_id,moa_ref_id,organism
218493,2580,749,Cathepsin L1,Enzyme,P07711,CTSL,CATL1_HUMAN,5.78,,IC50,Teicoplanin potently prevents the entrance of 2019-nCoV-Spike-pseudoviruses into the cytoplasm,SCIENTIFIC LITERATURE,=,1,SCIENTIFIC LITERATURE,http://dx.doi.org/10.1101/2020.02.05.935387,http://dx.doi.org/10.1101/2020.02.05.935387,INHIBITOR,,Tclin,2761,2761,Homo sapiens
218494,5379,545,Platelet-derived growth factor receptor alpha,Kinase,P16234,PDGFRA,PGFRA_HUMAN,9.62,,IC50,PDGFRA D842V (exon 18) mutant,SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/29093181,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212608s000lbl.pdf,INHIBITOR,,Tclin,2765,2764,Homo sapiens
218495,5379,383,Mast/stem cell growth factor receptor Kit,Kinase,P10721,KIT,KIT_HUMAN,9.57,,IC50,KIT D816V (exon 17),SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/29093181,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212608s000lbl.pdf,INHIBITOR,,Tclin,2765,2764,Homo sapiens
218497,5379,4396,Mast/stem cell growth factor receptor Kit,Kinase,P05532,Kit,KIT_MOUSE,7.66,,IC50,Inhibition of KIT D816Y mutant autophosphorylation in P815 cell line,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/29093181,,INHIBITOR,,Tclin,2765,,Mus musculus
218499,5380,4397,Histone-lysine N-methyltransferase EZH2,Enzyme,Q15910,EZH2,EZH2_HUMAN,7.96,,IC50,Mechanism of Action,DRUG LABEL,=,1,DRUG LABEL,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/211723s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/211723s000lbl.pdf,INHIBITOR,,Tclin,2766,2766,Homo sapiens
217428,5277,4111,Ileal sodium/bile acid cotransporter,Transporter,Q12908,SLC10A2,NTCP2_HUMAN,9.275724,,IC50,,SCIENTIFIC LITERATURE,=,1,SCIENTIFIC LITERATURE,http://dx.doi.org/10.1016/S0016-5085(10)61017-7,http://dx.doi.org/10.1016/S0016-5085(10)61017-7,INHIBITOR,,Tclin,2004,2004,Homo sapiens
217429,5276,1047,Cystic fibrosis transmembrane conductance regulator,Ion channel,P13569,CFTR,CFTR_HUMAN,,,,,UNKNOWN,,1,DRUG LABEL,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210491lbl.pdf,PHARMACOLOGICAL CHAPERONE,,Tclin,,2005,Homo sapiens
217430,5275,258,Somatostatin receptor type 2,GPCR,P30874,SSTR2,SSR2_HUMAN,,,,,UNKNOWN,,1,DRUG LABEL,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208700s000lbl.pdf,AGONIST,,Tclin,,2006,Homo sapiens
217431,5271,3193,Growth hormone secretagogue receptor type 1,GPCR,Q92847,GHSR,GHSR_HUMAN,7.81,,IC50,"In a radioligand displacement assay using <sup>125</sup>I-labeled ghrelin as the probe, and human pituitary gland samples.",IUPHAR,=,1,DRUG LABEL,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=9745,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/205598s000lbl.pdf,AGONIST,,Tclin,2008,2007,Homo sapiens
217432,2717,1847,5-hydroxytryptamine receptor 2C,GPCR,P08909,Htr2c,5HT2C_RAT,6.7,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=213,,ANTAGONIST,,,,,Rattus norvegicus
217433,2781,1970,5-hydroxytryptamine receptor 3A,Ion channel,P23979,Htr3a,5HT3A_MOUSE,7.1,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2294,,ANTAGONIST,,,,,Mus musculus
217434,897,1970,5-hydroxytryptamine receptor 3A,Ion channel,P23979,Htr3a,5HT3A_MOUSE,5.26,,IC50,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2298,,BLOCKER,,,,,Mus musculus
217435,2162,1970,5-hydroxytryptamine receptor 3A,Ion channel,P23979,Htr3a,5HT3A_MOUSE,4.5,,IC50,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4051,,BLOCKER,,,,,Mus musculus
217436,660,1855,5-hydroxytryptamine receptor 4,GPCR,Q62758,Htr4,5HT4R_RAT,8,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=240,,AGONIST,,,,,Rattus norvegicus
217437,1043,4017,5-hydroxytryptamine receptor 5A,Unclassified,P30966,Htr5a,5HT5A_MOUSE,8.4,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=149,,ANTAGONIST,,,,,Mus musculus
215569,2601,170,Alpha-1D adrenergic receptor,GPCR,P25100,ADRA1D,ADA1D_HUMAN,8.41,,Ki,,PDSP,,,,,,,,Tclin,,,Homo sapiens
217438,1775,4017,5-hydroxytryptamine receptor 5A,Unclassified,P30966,Htr5a,5HT5A_MOUSE,7.2,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=134,,ANTAGONIST,,,,,Mus musculus
217439,3659,4017,5-hydroxytryptamine receptor 5A,Unclassified,P30966,Htr5a,5HT5A_MOUSE,6,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=102,,ANTAGONIST,,,,,Mus musculus
217440,1043,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,8.6,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=149,,AGONIST,,,,,Rattus norvegicus
217441,1621,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,8.7,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=17,,AGONIST,,,,,Rattus norvegicus
217442,1588,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,8.3,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=43,,AGONIST,,,,,Rattus norvegicus
217443,180,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,7.2,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=200,,ANTAGONIST,,,,,Rattus norvegicus
217444,191,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,8.2,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=201,,ANTAGONIST,,,,,Rattus norvegicus
217445,888,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,8.3,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=121,,ANTAGONIST,,,,,Rattus norvegicus
217446,1723,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,7.5,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=133,,ANTAGONIST,,,,,Rattus norvegicus
217447,1775,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,6.6,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=134,,ANTAGONIST,,,,,Rattus norvegicus
217448,1796,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,7.4,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=135,,ANTAGONIST,,,,,Rattus norvegicus
217449,722,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,8.4,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=38,,ANTAGONIST,,,,,Rattus norvegicus
217450,1613,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,7.8,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=205,,ANTAGONIST,,,,,Rattus norvegicus
217451,1982,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,8.6,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=47,,ANTAGONIST,,,,,Rattus norvegicus
217452,2389,2011,5-hydroxytryptamine receptor 6,GPCR,P31388,Htr6,5HT6R_RAT,6.4,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=96,,ANTAGONIST,,,,,Rattus norvegicus
217453,403,1777,5-hydroxytryptamine receptor 7,GPCR,P32305,Htr7,5HT7R_RAT,8,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=35,,AGONIST,,,,,Rattus norvegicus
217454,1588,1777,5-hydroxytryptamine receptor 7,GPCR,P32305,Htr7,5HT7R_RAT,9.3,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=43,,AGONIST,,,,,Rattus norvegicus
217455,2105,1777,5-hydroxytryptamine receptor 7,GPCR,P32305,Htr7,5HT7R_RAT,9,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=48,,AGONIST,,,,,Rattus norvegicus
217456,180,1777,5-hydroxytryptamine receptor 7,GPCR,P32305,Htr7,5HT7R_RAT,7,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=200,,ANTAGONIST,,,,,Rattus norvegicus
217457,1524,1777,5-hydroxytryptamine receptor 7,GPCR,P32305,Htr7,5HT7R_RAT,6.7,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=88,,ANTAGONIST,,,,,Rattus norvegicus
217458,1982,1777,5-hydroxytryptamine receptor 7,GPCR,P32305,Htr7,5HT7R_RAT,7,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=47,,ANTAGONIST,,,,,Rattus norvegicus
217459,2543,1777,5-hydroxytryptamine receptor 7,GPCR,P32305,Htr7,5HT7R_RAT,6.6,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=54,,ANTAGONIST,,,,,Rattus norvegicus
217460,1499,3933,Beta-3 adrenergic receptor,Unclassified,P25962,Adrb3,ADRB3_MOUSE,5.3,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=536,,AGONIST,,,,,Mus musculus
217461,431,3933,Beta-3 adrenergic receptor,Unclassified,P25962,Adrb3,ADRB3_MOUSE,6.3,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=570,,ANTAGONIST,,,,,Mus musculus
217462,2303,3933,Beta-3 adrenergic receptor,Unclassified,P25962,Adrb3,ADRB3_MOUSE,6.6,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=564,,ANTAGONIST,,,,,Mus musculus
217464,4186,4116,B1 bradykinin receptor,GPCR,P97583,Bdkrb1,BKRB1_RAT,6.4,,Ki,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=667,,ANTAGONIST,,,,,Rattus norvegicus
217465,2780,505,Extracellular calcium-sensing receptor,GPCR,P41180,CASR,CASR_HUMAN,4.4,,Kd,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=717,,ALLOSTERIC MODULATOR,,Tclin,,,Homo sapiens
217466,1942,4102,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q01815,Cacna1c,CAC1C_MOUSE,8,,IC50,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2524,,GATING INHIBITOR,,,,,Mus musculus
217467,1937,1882,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,P27732,Cacna1d,CAC1D_RAT,6.6,,IC50,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2523,,GATING INHIBITOR,,,,,Rattus norvegicus
217468,1942,4117,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q99246,Cacna1d,CAC1D_MOUSE,7,,IC50,,IUPHAR,=,,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2524,,GATING INHIBITOR,,,,,Mus musculus
217469,2878,3945,Voltage-dependent N-type calcium channel subunit alpha-1B,Unclassified,Q02294,Cacna1b,CAC1B_RAT,10.3,,IC50,,IUPHAR,=,,,,,BLOCKER,,,,,Rattus norvegicus
217470,992,4054,Voltage-dependent T-type calcium channel subunit alpha-1G,Ion channel,O54898,Cacna1g,CAC1G_RAT,7,,IC50,,IUPHAR,=,,,,,BLOCKER,,,,,Rattus norvegicus
217341,5256,2142,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Kinase,P42336,PIK3CA,PK3CA_HUMAN,9.301030158996582,,IC50,,SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/24170767,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209936s000lbl.pdf,INHIBITOR,,Tclin,690,691,Homo sapiens
215570,4115,172,Alpha-1B adrenergic receptor,GPCR,P35368,ADRA1B,ADA1B_HUMAN,8.408935393,,Ki,,PDSP,,,,,,,,Tclin,,,Homo sapiens
217342,5256,704,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Kinase,O00329,PIK3CD,PK3CD_HUMAN,9.154901504516602,,IC50,,SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/24170767,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209936s000lbl.pdf,INHIBITOR,,Tclin,690,691,Homo sapiens
217343,5256,2313,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Kinase,P42338,PIK3CB,PK3CB_HUMAN,8.431797981262207,,IC50,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24170767,,INHIBITOR,,Tchem,690,,Homo sapiens
217344,5256,2314,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Kinase,P48736,PIK3CG,PK3CG_HUMAN,8.193819999694824,,IC50,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24170767,,INHIBITOR,,Tclin,690,,Homo sapiens
217345,5257,397,Potassium channel subfamily K member 2,Ion channel,O95069,KCNK2,KCNK2_HUMAN,7.221848964691162,,IC50,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/21293470,,BLOCKER,,Tclin,692,,Homo sapiens
217346,1407,953,Acid-sensing ion channel 1,Ion channel,P78348,ASIC1,ASIC1_HUMAN,3.53,,IC50,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/28949138,,BLOCKER,,Tchem,693,,Homo sapiens
217347,5259,2322,Cyclin-dependent kinase 4,Kinase,P11802,CDK4,CDK4_HUMAN,9.22184875,,Ki,,SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/24919854,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208716Orig1s000lbl.pdf,INHIBITOR,,Tclin,794,793,Homo sapiens
217348,5259,1950,Cyclin-dependent kinase 6,Kinase,Q00534,CDK6,CDK6_HUMAN,8.619788758,,Ki,,SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/24919854,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208716Orig1s000lbl.pdf,INHIBITOR,,Tclin,794,793,Homo sapiens
217349,5261,529,Prostaglandin F2-alpha receptor,GPCR,P43088,PTGFR,PF2R_HUMAN,8.6,,Ki,Value based on agonist activity of latanoprost.,IUPHAR,~,1,SCIENTIFIC LITERATURE,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=9635,http://www.ncbi.nlm.nih.gov/pubmed/21396362,AGONIST,,Tclin,,894,Homo sapiens
217350,5262,4109,DNA terminase complex,Enzyme,F5HC79|F5HCU8|F5HGI9,TRM1|TRM2|TRM3,TRM1_HCMVM|TRM2_HCMVM|TRM3_HCMVM,8.677780705,,EC50,,DRUG LABEL,=,1,DRUG LABEL,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209939Orig1s000,209940Orig1s000lbl.pdf","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209939Orig1s000,209940Orig1s000lbl.pdf",INHIBITOR,,Tclin,994,994,Human cytomegalovirus (strain Merlin)
217352,5263,4110,Interleukin-5 receptor subunit alpha,Membrane receptor,Q01344,IL5RA,IL5RA_HUMAN,10.95860731,,Kd,,DRUG LABEL,=,1,DRUG LABEL,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,ANTIBODY BINDING,,Tclin,995,995,Homo sapiens
217353,5014,82,D(1A) dopamine receptor,GPCR,P21728,DRD1,DRD1_HUMAN,6.795880017,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,AGONIST,,Tclin,391,,Homo sapiens
217355,5014,158,D(4) dopamine receptor,GPCR,P21917,DRD4,DRD4_HUMAN,8.200659451,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,AGONIST,,Tchem,391,,Homo sapiens
217357,5014,130,5-hydroxytryptamine receptor 1B,GPCR,P28222,HTR1B,5HT1B_HUMAN,7.494850022,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tclin,391,,Homo sapiens
217358,5014,103,5-hydroxytryptamine receptor 2C,GPCR,P28335,HTR2C,5HT2C_HUMAN,7.468521083,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tclin,391,,Homo sapiens
217359,5014,284,5-hydroxytryptamine receptor 5A,GPCR,P47898,HTR5A,5HT5A_HUMAN,6.853871964,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tchem,391,,Homo sapiens
217360,5014,104,5-hydroxytryptamine receptor 6,GPCR,P50406,HTR6,5HT6R_HUMAN,7.236572006,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tchem,391,,Homo sapiens
217361,5014,106,Alpha-1A adrenergic receptor,GPCR,P35348,ADRA1A,ADA1A_HUMAN,8.420216403,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tclin,391,,Homo sapiens
217362,5014,90,Alpha-2A adrenergic receptor,GPCR,P08913,ADRA2A,ADA2A_HUMAN,7.823908741,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tclin,391,,Homo sapiens
217363,5014,107,Alpha-2B adrenergic receptor,GPCR,P18089,ADRA2B,ADA2B_HUMAN,7.769551079,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tclin,391,,Homo sapiens
217364,5014,54,Beta-1 adrenergic receptor,GPCR,P08588,ADRB1,ADRB1_HUMAN,7.229147988,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tclin,391,,Homo sapiens
217365,5014,55,Beta-2 adrenergic receptor,GPCR,P07550,ADRB2,ADRB2_HUMAN,7.173925197,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,,,Tclin,391,,Homo sapiens
217366,5014,98,Sodium-dependent serotonin transporter,Transporter,P31645,SLC6A4,SC6A4_HUMAN,7.537602002,,IC50,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,INHIBITOR,,Tclin,391,,Homo sapiens
217367,5014,99,Sodium-dependent noradrenaline transporter,Transporter,P23975,SLC6A2,SC6A2_HUMAN,6.8569852,,IC50,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,INHIBITOR,,Tclin,391,,Homo sapiens
217368,5014,144,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.024568191,,IC50,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/24947465,,INHIBITOR,,Tclin,391,,Homo sapiens
217369,5267,1700,Glucagon-like peptide 1 receptor,GPCR,P43220,GLP1R,GLP1R_HUMAN,9.420216403,,IC50,,SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/26308095,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209637lbl.pdf,AGONIST,,Tclin,996,1096,Homo sapiens
217370,5269,713,Rho-associated protein kinase 2,Kinase,O75116,ROCK2,ROCK2_HUMAN,8.376751,,Ki,,SCIENTIFIC LITERATURE,=,1,DRUG LABEL,http://www.ncbi.nlm.nih.gov/pubmed/27072905,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208254lbl.pdf,INHIBITOR,,Tclin,1097,1197,Homo sapiens
216941,1900,91,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,7.522878646850586,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/22711801,,,,Tclin,659,,Homo sapiens
216942,331,90,Alpha-2A adrenergic receptor,GPCR,P08913,ADRA2A,ADA2A_HUMAN,5.864867210388184,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/22711801,,,,Tclin,659,,Homo sapiens
216944,331,107,Alpha-2B adrenergic receptor,GPCR,P18089,ADRA2B,ADA2B_HUMAN,6.160521984100342,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/22711801,,,,Tclin,659,,Homo sapiens
216945,331,132,Alpha-2C adrenergic receptor,GPCR,P18825,ADRA2C,ADA2C_HUMAN,6.263603687286377,,Ki,,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/22711801,,,,Tclin,659,,Homo sapiens
216946,6,150,Intermediate conductance calcium-activated potassium channel protein 4,Ion channel,O15554,KCNN4,KCNN4_HUMAN,7.6,,IC50,,IUPHAR,=,,,,,BLOCKER,,Tchem,,,Homo sapiens
