id,struct_id,approval,type,applicant,orphan
4306,5352,2020-04-23,EMA,Shionogi B.V.,
4307,5364,2020-06-25,EMA,Celgene Europe B.V.,t
4308,5379,2020-09-24,EMA,Blueprint Medicines (Netherlands) B.V.,t
4309,5383,2020-05-20,EMA,Bristol-Myers Squibb Pharma EEIG,
4310,5385,2020-05-30,EMA,Sanofi-Aventis groupe,t
4311,5419,2020-09-24,EMA,Gilead Sciences Ireland UC,
4312,5419,2020-09-25,PMDA,Gilead Sciences,
4313,5420,2020-06-29,PMDA,Mitsubishi Tanabe Pharma,
4314,5421,2020-06-29,PMDA,GlaxoSmithKline,
4315,5422,2020-03-25,PMDA,Stella Pharma,
4316,5423,2020-03-25,PMDA,Ono Pharmaceutical,t
4317,5424,2020-03-25,PMDA,Merck KGaA,t
4318,5425,2020-01-23,PMDA,Fuji Yakuhin,
4319,5426,2020-01-23,PMDA,Japan Tobacco,
4320,5427,2020-09-25,PMDA,Japan Tabacco,
4321,5428,2020-09-25,PMDA,Kaken Pharmaceutical,
4322,5429,2020-12-01,FDA,UNIV CA LOS ANGELES,
4323,5430,2020-12-03,FDA,BIOCRYST,t
4324,5431,2020-12-14,FDA,ALMIRALL,
4424,5432,2019-08-01,PMDA,Takeda Pharmaceutical Company Limited,
4425,5432,2020-12-18,FDA,MYOVANT SCIENCES,
4426,5433,2020-12-21,FDA,RIDGEBACK BIOTHERAPEUTICS,t
4427,5434,2020-12-16,FDA,MACROGENICS INC,
4428,5435,2020-11-25,FDA,Y-MABS THERAPEUTICS INC,t
4429,5436,2020-10-14,FDA,REGENERON PHARMACEUTICALS,t
4430,5437,2020-10-14,FDA,REGENERON PHARMACEUTICALS,t
4431,5438,2020-10-14,FDA,REGENERON PHARMACEUTICALS,t
4432,5360,2020-01-23,PMDA,"Eisai Co., Ltd",
4433,5225,2020-03-25,PMDA,AstraZeneca K.K.,
4434,4966,2020-03-25,PMDA,Janssen Pharmaceutical K.K.,
4435,2646,2020-01-23,PMDA,"Aska Pharmaceutical Co., Ltd",
4436,5002,2020-03-25,PMDA,Eli Lilly Japan K.K.,
4437,2994,2020-03-25,PMDA,Eli Lilly Japan K.K.,
4438,4901,2020-03-25,PMDA,Sanofi K.K.,
4439,4815,2013-05-24,PMDA,Sanofi K.K.,
4440,760,2020-02-21,PMDA,Novartis Pharma K.K.,
4441,913,2020-01-23,PMDA,"Ferring Pharmaceuticals Co., Ltd.",
4442,871,2020-01-23,PMDA,"Mochida Pharmaceutical Co., Ltd.",
4443,4684,2020-01-23,PMDA,"Eisai Co., Ltd.",
4444,1826,2020-02-21,PMDA,Alfresa Pharma Corporation,
4445,1672,2020-03-25,PMDA,"Nobelpharma Co., Ltd",
4446,4168,2020-03-25,PMDA,"Sumitomo Dainippon Pharma Co., Ltd.",
4447,5363,2020-03-25,PMDA,Novartis Pharma K.K.,
4448,4061,2020-03-25,PMDA,"Senju Pharmaceutical Co., Ltd",
4449,395,2020-03-25,PMDA,"Senju Pharmaceutical Co., Ltd",
4450,4916,2020-03-25,PMDA,"Bayer Yakuhin, Ltd",t
4451,3483,2020-01-23,PMDA,MSD K.K.,
4452,5295,2020-01-14,PMDA,MSD K.K.,
4453,5346,2020-01-23,PMDA,AbbVie GK,
4454,5089,2020-02-21,PMDA,Bristol-Myers Squibb K.K.,
4455,5061,2020-03-25,PMDA,GlaxoSmithKline K.K.,
4456,5334,2020-01-23,PMDA,"Bayer Yakuhin, Ltd",
4457,4923,2014-07-04,PMDA,"Ono Pharmaceutical Co., Ltd",t
4458,4923,2015-06-19,EMA,Bristol-Myers Squibb,
4459,1482,2020-03-25,PMDA,"Nihon Servier Co., Ltd",
4460,4715,2020-03-25,PMDA,Takeda Pharmaceutical Company Limited,
4461,5367,2020-03-25,PMDA,"Daiichi Sankyo Company, Limited",
4462,2638,2019-03-26,PMDA,Sumitomo Dainippon Pharma,
4463,5067,2017-03-30,PMDA,Takeda Pharmaceutical Company Limited,t
4464,438,2020-03-25,PMDA,"Otsuka Pharmaceutical Co., Ltd",
4465,5173,2020-03-25,PMDA,Shire Japan K.K.,
4466,5376,2020-05-07,PMDA,Gilead Sciences K.K.,
4467,5278,2019-03-26,PMDA,Janssen Pharmaceutical K.K.,
4468,4628,2014-03-24,PMDA,Astellas Pharma Inc,
4469,4904,2008-04-16,PMDA,AbbVie GK,
4470,5326,2020-06-29,PMDA,Novartis Pharma K.K.,
4471,5143,2020-06-29,PMDA,"Ono Pharmaceutical Co., Ltd",
4472,1545,2002-07-05,PMDA,"Ono Pharmaceutical Co., Ltd",
4473,1545,2016-06-29,EMA,AOP Orphan Pharmaceuticals AG,
4474,4110,2010-10-27,PMDA,"Otsuka Pharmaceutical Co., Ltd",t
4475,5409,2020-06-29,PMDA,"Chugai Pharmaceutical Co., Ltd.",t
4476,5281,2020-06-29,PMDA,Sun Pharma Japan Ltd.,
4477,5385,2020-06-29,PMDA,Sanofi K.K.,
4478,1164,2020-06-29,PMDA,"Hisamitsu Pharmaceutical Co., Inc.",
4479,4359,2014-09-26,PMDA,Pfizer Japan Inc,t
4480,1980,2020-08-21,PMDA,"Novartis Pharma K.K., Sandoz K.K.",
4481,5189,2016-09-28,PMDA,CSL Behring K.K.,
4482,4990,2013-09-20,PMDA,"Chugai Pharmaceutical Co., Ltd",
4483,770,2020-08-21,PMDA,"Nippon Shinyaku Co., Ltd.",
4484,4924,2016-09-28,PMDA,MSD K.K.,
4485,4934,2014-12-26,PMDA,Novartis Pharma,t
4486,5372,2020-08-21,EMA,Vertex Pharmaceuticals (Ireland) Limited,t
4487,4228,2020-08-21,EMA,Vertex Pharmaceuticals (Ireland) Limited,t
4488,5276,2020-08-21,EMA,Vertex Pharmaceuticals (Ireland) Limited,t
4489,5311,2020-12-23,FDA,UROVANT SCIENCES GMBH,
4490,5439,2021-01-19,FDA,MERCK SHARP DOHME,
4491,5440,2021-01-21,FDA,Viiv HLTHCARE,
4492,4366,2021-01-22,FDA,AURINIA PHARMA U.S.,
4493,5424,2021-02-03,FDA,EMD SERONO INC,t
4494,5441,2021-02-05,FDA,TG THERAPEUTICS Inc,t
4495,5442,2021-02-12,FDA,G1 THERAPEUTICS Inc,
4496,5443,2021-02-25,FDA,SAREPTA THERAPS INC,t
4497,5444,2021-02-26,FDA,ORIGIN,t
4498,5445,2021-02-26,FDA,ONCOPEPTIDES AB,t
4499,5446,2021-03-18,FDA,JANSSEN PHARMACEUTICALS Inc,
4500,5447,2021-03-22,FDA,ZEALAND PHARMA AS,
4501,2820,2021-04-02,FDA,SUPERNUS PHARMS,
4502,5448,2021-03-02,FDA,COMMCAVE THERAPEUTICS SA,
4503,5258,2021-03-10,FDA,"AVEO PHARMACEUTICALS, Inc",
4504,5449,2021-02-11,FDA,REGENERON PHARMACEUTICALS,t
4505,5450,2021-04-15,FDA,MAYNE PHARMA,
4506,5451,2021-04-21,EMA,GlaxoSmithKline (Ireland) Limited,
4507,5451,2021-04-22,FDA,GLAXOSMITHKLINE,
4508,5452,2021-04-23,FDA,ADC Therapeutics SA,t
4509,2994,2021-02-02,EMA,XERIS PHARMACEUTICALS IRELAND LIMITED,
4510,5389,2021-02-11,EMA,SEAGEN B.V,
4511,5314,2021-02-08,EMA,ASTRAZENECA AB,
4512,5401,2021-02-04,EMA,ViiV HEALTHCARE B.V.,
4513,5367,2021-01-18,EMA,DAIICHI SANKYO EUROPE GmbH,
4514,5323,2021-01-07,EMA,STEMLINE THERAPEUTICS B.V.,
4515,5301,2021-01-07,EMA,ROCHE REGISTRATION GmbH,
4516,1551,2021-01-07,EMA,AERIE PHARMACEUTICALS IRELAND LIMITED,
4517,5355,2021-03-26,EMA,ARVELLE THERAPEUTICS NETHERLANDS B.V.,
4518,2419,2021-03-26,EMA,TEVA B.V.,
4519,1225,2021-03-26,EMA,TEVA B.V.,
4520,5347,2021-02-08,EMA,CELGENE EUROPE BV,
4521,5400,2021-03-26,EMA,PAION Netherlands B.V.,
4522,1413,2021-03-26,EMA,Amarin Pharmaceuticals Ireland Limited,
4523,5413,2021-03-31,EMA,Novo Nordisk A/S,
4524,5393,2021-02-11,EMA,Eli Lilly Nederland B.V.,
4525,2638,2021-03-26,EMA,RIEMSER Pharma GmbH,
4526,4519,2021-04-30,EMA,Advicenne S.A.,
4527,4520,2021-04-30,EMA,Advicenne S.A.,
4528,5390,2021-03-26,EMA,Incyte Biosciences Distribution B.V.,t
4529,5407,2021-03-26,EMA,Roche Registration GmbH,t
4530,5453,2020-11-11,FDA,Eli Lilly and Company,
4531,5454,2020-11-09,FDA,Eli Lilly and Company,
4532,5455,2020-11-21,FDA,"Regeneron Pharmaceuticals, Inc.",
4533,5456,2020-11-21,FDA,"Regeneron Pharmaceuticals, Inc.",
4534,5457,2021-05-14,FDA,APELLIS PHARMACEUTICALS INC,t
4535,5458,2021-05-26,FDA,PROGENICS PHARMS INC,
4536,5459,2019-06-28,FDA,QED THERAP,t
4537,5460,2021-05-28,FDA,ALKERMES INC,
4538,5461,2021-05-28,FDA,AMGEN INC,t
4539,5462,2021-06-01,FDA,SCYNEXIS,
4141,5375,1951-01-01,PMDA,,
4142,5326,2020-01-13,EMA,Novartis Europharm Limited,
4143,5280,2020-01-09,EMA,Instituto Grifols S.A.,
4144,5325,2020-01-16,EMA,Jazz Pharmaceuticals Ireland Limited,
4145,5363,2020-02-13,EMA,Novartis Europharm Limited,
4146,1426,2020-02-13,EMA,Merck Sharp & Dohme B.V.,
4147,5354,2020-03-02,EMA,Alnylam Netherlands B.V.,t
4148,5334,2020-03-27,EMA,Bayer AG,
4149,5201,2020-03-27,EMA,Pfizer Europe MA EEIG,
4150,2720,2020-04-03,EMA,SciPharm Sarl,t
4151,5379,2020-01-09,FDA,BLUEPRINT MEDICINES,t
4152,5380,2020-01-23,FDA,EPIZYME INC,t
4153,5381,2020-02-27,FDA,BIOHAVEN PHARM,
4154,179,2020-02-26,FDA,ACACIA PHARMA LTD,
4155,5382,2020-02-21,FDA,ESPERION THERAPS INC,
4156,1534,2020-02-12,FDA,BRAINTREE LABS,
4157,5382,2020-04-01,EMA,FGK Representative Service GmbH,
4158,5383,2020-03-25,FDA,CELGENE INTL,
4159,5384,2020-03-06,FDA,RECORDATI RARE,t
4160,5384,2020-01-09,EMA,Novartis Europharm Limited,t
4161,5385,2020-03-02,FDA,SANOFI AVENTIS US,t
4162,5386,2020-02-21,FDA,"Lundbeck Seattle BioPharmaceuticals, Inc.",
4163,5387,2020-01-21,FDA,HORIZON THERAPEUTICS IRELAND,t
4165,5143,2020-04-24,FDA,NEUROCRINE,
4166,5388,2020-04-10,FDA,ASTRAZENECA LP,t
4167,5389,2020-04-17,FDA,SEATTLE GENETICS,t
4168,5390,2020-04-17,FDA,INCYTE CORP,t
3655,3578,2018-07-20,FDA,GLAXOSMITHKLINE,t
3656,5176,2013-01-08,EMA,Crealta Pharmaceuticals Ireland Limited,
3657,5179,2017-07-17,EMA,LEO Pharma A/S,
3658,5185,2019-08-21,FDA,UIHC PET IMAGING,t
3659,5186,2017-01-18,EMA,Merck Sharp & Dohme B.V.,
3660,5202,2018-05-31,FDA,ELI LILLY AND CO,
3661,5203,2018-05-24,EMA,Clovis Oncology UK Limited,t
3662,5204,2012-06-15,EMA,Takeda Pharma A/S,
3663,5214,2017-09-18,EMA,Ipsen Pharma,t
3664,5218,2017-08-22,EMA,Novartis Europharm Ltd,
3665,5221,2017-09-18,EMA,Merck Europe B.V.,t
3666,5222,2017-11-16,EMA,Tesaro UK Limited,t
3667,5223,2018-08-01,EMA,Roche Registration GmbH,
3668,5224,2017-07-03,EMA,sanofi-aventis groupe,
3669,5225,2018-03-22,EMA,AstraZeneca AB,
3670,5225,2018-05-18,FDA,ASTRAZENECA PHARMS,
3671,5231,2017-09-18,EMA,Novartis Europharm Ltd,t
3672,5243,2017-07-26,EMA,AbbVie Deutschland GmbH & Co. KG,
3673,5244,2017-07-26,EMA,AbbVie Deutschland GmbH & Co. KG,
3674,5246,2017-11-10,EMA,Janssen-Cilag International N.V.,
3675,5247,2017-08-17,FDA,WYETH PHARMS INC,t
3676,5262,2018-01-08,EMA,Merck Sharp & Dohme Limited,t
3677,5263,2018-01-08,EMA,AstraZeneca AB,
3678,5267,2018-02-08,EMA,Novo Nordisk A/S,
3679,5268,2018-02-23,EMA,Roche Registration Limited,
3680,5270,2018-03-21,EMA,Merck Sharp & Dohme Limited,
3681,5274,2018-06-21,EMA,Gilead Sciences International Limited,
3682,5275,2017-09-26,EMA,Advanced Accelerator Applications,t
3683,5279,2018-03-06,FDA,TAIMED BIOLOGICS USA,t
3684,5187,,FDA,,
3685,5190,,FDA,,
3686,5191,,FDA,,
3687,5192,,FDA,,
3688,5193,1960-06-08,FDA,MERCK,
3689,5194,,FDA,,
3690,5196,,FDA,,
3691,5217,,Health Canada,,
3692,5236,,China Food and Drug Administration (CFDA),,
3693,5280,2018-04-17,FDA,RIGEL PHARMS INC,
3694,5281,2018-03-20,FDA,SUN PHARMA GLOBAL,
3695,5282,2018-04-17,FDA,ULTRAGENYX PHARM INC,t
3696,5283,2018-04-19,FDA,HELSINN HLTHCARE,
3697,1593,2018-05-16,FDA,US WORLDMEDS LLC,
3698,5284,2018-05-17,FDA,AMGEN INC,
3699,5285,2018-05-21,FDA,AKARX INC,t
3700,5286,2018-06-13,FDA,MDGH,t
3701,5287,2018-06-25,FDA,ACHAOGEN INC,
3702,5288,2018-06-25,FDA,GW RESEARCH LTD,t
3703,5289,2018-06-27,FDA,ARRAY BIOPHARMA INC,t
3704,5290,2018-06-27,FDA,ARRAY BIOPHARMA INC,t
3705,5290,2018-09-20,EMA,Pierre Fabre Medicament,
3706,5252,2018-08-08,EMA,PUMA BIOTECH INC,
3708,2448,2007-03-20,EMA,MERCK SHARP DOHME,
3710,5259,2018-09-26,EMA,Eli Lilly Nederland B.V.,
3711,1539,1996-08-08,EMA,VIIV HLTHCARE,
3712,5014,2018-07-27,EMA,OTSUKA PHARM CO LTD,
3714,4979,2000-08-28,EMA,ROCHE REGISTRATION GMBH,
3716,4980,2018-04-04,EMA,PFIZER EUROPE MA EEIG,t
3717,2760,,PMDA,"EISAI CO., LTD",
3718,5282,2018-02-02,EMA,KYOWA KIRIN LIMITED,t
3719,5264,2018-08-23,EMA,ULTRAGENYX PHARM INC,t
3720,4823,2018-04-13,EMA,BIOCRYST UK LIMITED,
3721,4826,2018-07-29,EMA,AEGERION PHARMACEUTICALS B.V.,t
3722,5173,2018-08-08,EMA,BAXALTA INNOVATIONS GMBH,
3723,5233,2018-09-22,EMA,TAKEDA PHARMA A/S,
3724,5234,2018-09-21,EMA,ASTRAZENECA AB,
3725,209,2004-11-15,EMA,SHIRE PHARMACEUTICALS IRELAND LIMITED,t
3726,2073,2004-09-20,EMA,ELI LILLY NEDERLAND B.V.,f
3727,3317,2007-06-14,EMA,CELEGENE EUROPE BV,t
3728,4113,2009-02-24,EMA,DAIICHI SANKYO EUROPE GMBH,
3729,4188,1999-08-25,EMA,APOTEX EUROPE BV,
3730,5291,2018-07-13,FDA,SIGA TECHNOLOGIES,t
3731,5292,2018-07-20,FDA,AGIOS PHARMS INC,t
3732,5293,2018-07-23,FDA,ABBVIE INC ,
3733,5059,2018-07-31,FDA,SHIONOGI INC,
3734,5110,2018-08-08,FDA,AMICUS THERAPS US,t
3735,2480,2018-08-20,FDA,BIOCODEX SA,t
3736,5294,2018-08-27,FDA,TETRAPHASE PHARMS,
3737,5294,2018-09-20,EMA,TETRAPHASE PHARMS,
3738,5295,2018-08-30,FDA,MSD MERCK CO,
3739,5295,2018-11-22,EMA,MERCK SHARP & DOHME B.V.,
3740,5296,2018-09-24,FDA,VERASTEM INC,t
3741,5297,2018-09-27,FDA,PFIZER INC,t
3742,5298,2018-10-01,FDA,ALLERGAN INC,
3743,5299,2018-10-02,FDA,PARATEK PHARMS INC,
3744,5300,2018-10-16,FDA,PFIZER INC,
3745,5301,2018-10-24,FDA,GENENTECH INC,
3746,5301,2018-02-23,PMDA,"Shionogi & Co., Ltd.",
3748,5302,2018-09-21,PMDA,Pfizer Japan Inc,
3749,5302,2018-09-21,FDA,PFIZER INC,t
3750,5303,2018-11-09,FDA,MYLAN IRELAND LTD,
3751,4817,2018-11-16,FDA,COSMO TECHNOLOGIES,
3752,5304,2018-11-21,FDA,PFIZER INC,t
3753,5305,2018-11-26,FDA,LOXO ONCOLOGY INC,t
3754,4336,2018-11-28,FDA,CATALYST PHARMS,t
3755,5306,2018-09-21,PMDA,Astellas Pharma Inc,t
3756,5306,2018-11-28,FDA,ASTELLAS,t
3757,3502,2018-12-14,FDA,SHIRE DEV LLC,
3758,5307,2017-03-23,PMDA,"Kyowa Hakko Kirin Co., Ltd.",
3759,5308,2018-08-30,EMA,ABLYNX NV,t
3760,5284,2018-07-26,EMA,NOVARTIS EUROPHARM LIMITED,
3761,5309,2018-08-23,FDA,DYAX CORP,t
3762,5309,2018-11-22,EMA,SHIRE PHARMACEUTICALS IRELAND LTD,t
3763,5281,2018-09-17,EMA,ALMIRALL SA,
3764,5310,2018-03-23,PMDA,Seikagaku Corporation,
3765,5311,2018-09-21,PMDA,"Kyorin Pharmaceutical Co., Ltd.",
3766,5312,2018-09-21,PMDA,"Santen Pharmaceutical Co., Ltd.",
3767,4086,2017-06-26,PMDA,"Fuji Chemical Industries Co., Ltd.",
3768,1407,2018-01-19,PMDA,"Senju Pharmaceutical Co., Ltd.",
3769,3521,2018-03-23,PMDA,Takeda Pharmaceutical Company Limited,
3770,5207,2017-07-03,PMDA,Biogen Japan Ltd,
3771,5014,2018-01-19,PMDA,"Otsuka Pharmaceutical Co., Ltd.",
3772,5186,2017-09-27,PMDA,MSD KK,
3773,4741,2018-01-19,PMDA,Janssen Pharmaceutical KK,
3774,4873,2018-03-23,PMDA,Bayer Yakuhin Ltd.,
3775,5262,2018-03-23,PMDA,MSD KK,
3776,5202,2017-07-03,PMDA,Eli Lilly Japan KK,
3777,5237,2017-09-27,PMDA,SANOFI KK,
3778,4949,2017-09-27,PMDA,GlaxoSmithKline KK,
3780,5224,2018-01-19,PMDA,Sanofi KK,
3781,5263,2018-01-19,PMDA,AstraZeneca KK,
3782,5246,2018-03-23,PMDA,Janssen Pharmaceutical KK,
3783,5267,2018-03-23,PMDA,Novo Nordisk Pharma Ltd,
3784,5110,2018-03-23,PMDA,Amicus Therapeutics Inc,
3785,4301,2017-09-27,PMDA,Nihon Medi-Physics Co Ltd,
3786,4117,2017-07-03,PMDA,Mundipharma KK,
3787,4119,2017-07-03,PMDA,Celgene KK,
3788,4941,2017-09-27,PMDA,Pfizer Japan Inc,
3789,5063,2017-09-27,PMDA,Janssen Pharmaceutical KK,
3790,5221,2017-09-27,PMDA,"Merck Serono Co., Ltd.",
3791,5151,2018-01-19,PMDA,"Chugai Pharmaceutical Co., Ltd.",t
3792,5247,2018-01-19,PMDA,Pfizer Japan Inc,
3793,4907,2018-01-19,PMDA,AstraZeneca KK,
3794,5268,2018-03-23,PMDA,"Chugai Pharmaceutical Co., Ltd.",
3795,5265,2017-09-27,PMDA,CSL Behring KK,
3796,4180,2018-07-02,PMDA,Astellas Pharma Inc,
3797,4982,2018-07-02,PMDA,Takeda Pharmaceutical Company Limited,
3798,5234,2018-07-02,PMDA,AstraZeneca KK,
3799,4711,2018-07-02,PMDA,Sanofi KK,
3800,4983,2018-07-02,PMDA,"Chugai Pharmaceutical Co., Ltd.",
3801,4186,2018-09-21,PMDA,Shire Japan KK,
3802,5259,2018-09-21,PMDA,Eli Lilly Japan KK,
3803,4915,2018-09-21,PMDA,Amgen Astellas Biopharma KK,
3805,5031,2018-08-08,FDA,KYOWA KIRIN,t
3806,5313,2018-10-08,FDA,ALNYLAM PHARMS INC,t
3807,5314,2018-09-13,FDA,ASTRAZENECA AB,t
3808,5315,2018-09-14,FDA,TEVA PHARMS USA,
3809,5316,2018-09-27,FDA,ELI LILLY AND CO,
3810,5317,2018-09-28,FDA,REGENERON PHARMACEUTICALS ,
3811,5318,2018-10-05,FDA,LEADIANT BIOSCI INC,t
3812,5319,2018-10-05,FDA,AKCEA THERAPS,t
3813,5320,2018-11-20,FDA,NOVIMMUNE S.A.,t
3814,5321,2018-12-20,FDA,SERVIER PHARMA LLC ,t
3815,5322,2018-12-21,FDA,ALEXION PHARM,t
3816,5323,2018-12-21,FDA,STEMLINE THERAPEEUTICS INC,t
3817,2734,2019-02-13,FDA,NOVARTIS PHARMS CORP,
3818,4192,2019-03-05,FDA,FOLDRX PHARMS,t
3819,434,2019-06-19,EMA,L. Molteni & C. dei Fratelli Alitti Società di Esercizio S.p.A.,
3820,5315,2019-03-28,EMA,TEVA GMBH,
3821,4337,2019-06-20,EMA,MYLAN SAS,
3823,5278,2019-01-14,EMA,JANSSEN-CILAG INTERNATIONAL N.V.,
3824,5059,2019-02-18,EMA,SHIONOGI B.V.,
3825,5220,2019-02-18,EMA,SHIONOGI B.V.,
3826,5271,2019-01-11,EMA,AETERNA ZENTARIS GMBH,
3827,5322,2019-02-07,EMA,ALEXION EUROPE SAS,
3828,5317,2019-06-28,EMA,REGENERON IRELAND U.C.,
3829,2684,2019-02-18,EMA,PARI PHARMA GMBH,
3830,5297,2019-02-04,EMA,PFIZER EUROPE MA EEIG,
3831,5324,2019-03-19,FDA,SAGE THERAPEUTICS,
3931,5325,2019-03-20,FDA,JAZZ,t
3932,5326,2019-03-26,FDA,NOVARTIS PHARMS CORP,
3933,5327,2019-04-12,FDA,JANSSEN BIOTECH,
3934,5328,2019-04-24,FDA,NOVARTIS PHARMS CORP,
3935,5329,2019-06-21,FDA,AMAG PHARMS INC,
3936,5330,2019-07-03,FDA,KARYOPHARM THERAPEUTICS INC,t
3937,5331,2019-02-01,FDA,EVOLUS INC,
3938,5308,2019-02-06,FDA,ABLYNX NV,t
3939,5332,2019-05-24,FDA,NOVARTIS PHARMS CORP,t
3940,5333,2019-06-10,FDA,GENENTECH,t
3941,5333,2018-04-16,EMA,"ROCHE REGISTRATION LIMITED, UK",t
3942,5076,2019-07-25,FDA,SHIELD TX UK LTD,
3943,5334,2019-07-30,FDA,BAYER HEALTHCARE PHARMACEUTICALS INC,
3944,5335,2019-05-03,EMA,Akcea Therapeutics Ireland Limited,t
3945,5336,2019-04-26,EMA,Portola Netherlands BV,
3946,5336,2018-05-03,FDA,Portola Pharamceuticals US,
3947,5337,2019-03-26,PMDA,AbbVie Deutschland GmbH & Co KG,
3948,5337,2019-04-23,FDA,AbbVie INC,
3949,5337,2019-04-26,EMA,AbbVie Deutschland GmbH & Co KG,
4036,5338,2019-02-15,EMA,AOP Orphan Pharmaceuticals AG,t
4037,5339,2019-04-26,EMA,SANOFI-AVENTIS GROUPE,
4038,5340,2019-05-03,EMA,BIOMARIN INTERNATIONAL LIMITED,t
4039,5340,2018-05-24,FDA,BIOMARIN PHARM,t
4040,5341,2019-06-18,PMDA,"DAIICHI SANKYO COMPANY, LIMITED",t
4041,4468,2019-05-03,FDA,JANSSEN PHARMS,
4042,1399,2019-07-01,EMA,NOVA LABORATORIES IRELAND LIMITED,
4043,5300,2019-06-20,EMA,PFIZER EUROPE MA EEIG,
4044,5302,2019-06-06,EMA,PFIZER EUROPE MA EEIG,
4045,2044,2019-05-10,EMA,TEVA BV,
4046,5342,2019-06-16,FDA,MSD MERCK CO,
4047,5343,2019-08-02,FDA,DAIICHI SANKYO INC,t
4049,5048,2019-08-14,FDA,HARMONY,
4050,5344,2019-08-14,FDA,MYLAN IRELAND LTD,t
4051,5345,2019-08-15,FDA,GENENTECH INC,t
4052,5346,2019-08-16,FDA,ABBVIE INC,
4053,5347,2019-08-16,FDA,IMPACT,t
4054,5348,2019-08-19,FDA,NABRIVA,
4055,4882,2019-08-27,FDA,KYOWA KIRIN,
4057,5349,2019-09-12,FDA,ARDELYX INC,
4058,5350,2019-10-04,FDA,GALDERMA R AND D,
4059,4836,2019-10-08,FDA,CLIVUNEL INC,
4060,4550,2019-10-10,FDA,FEINSTEIN,
4061,5269,2019-11-19,EMA,AERIE PHARMACEUTICALS IRELAND LTD,
4062,691,2019-11-14,EMA,ORPHELIA PHARMA SAS,
4063,391,2019-11-14,EMA,FRESENIUS KABI DEUTSCHLAND GMBH,
4064,244,2019-11-14,EMA,ACCORD HEALTHCARE SLU,
4065,5306,2019-10-24,EMA,ASTELLAS PHARMA EUROPE BV,t
4066,5351,2019-11-10,FDA,ELI LILLY AND CO,
4067,5352,2019-11-14,FDA,SHIONOGI INC,
4068,5353,2019-11-14,FDA,BEIGENE USA INC,t
4069,5354,2019-11-20,FDA,ALNYLAM PHARMS INC,t
4070,5355,2019-11-21,FDA,SK LIFE SCIENCE INC,
4071,5356,2019-11-25,FDA,GLOBAL BLOOD THERAPEUTICS INC,t
4073,5357,2019-12-12,FDA,SAREPTA THERAPS INC,t
4074,5358,2019-12-20,FDA,INTRA-CELLULAR,
4075,5359,2019-12-20,FDA,DUTCH OPHTHALMIC,t
4076,5360,2019-12-20,FDA,EISAI INC,
4077,5361,2019-12-23,FDA,ALLERGAN,
4078,5362,2019-04-09,FDA,AMGEN INC,
4079,5363,2019-10-07,FDA,NOVARTIS PHARMS CORP,
4080,5364,2019-11-08,FDA,CELGENE CORP,t
4081,5365,2019-11-15,FDA,NOVARTIS PHARMS CORP,t
4082,5366,2019-12-18,FDA,ASTELLAS,
