id,drug_class1,drug_class2,ddi_ref_id,ddi_risk,description,source_id
15532,Monoamine Oxidase Inhibitors,phenylephrine,1,Contraindicated,potentially fatal hypertensive crisis,MAOIs or RIMAs + Phenylephrine
15533,Monoamine Oxidase Inhibitors,Tricyclic Antidepressants,1,Contraindicated,very toxic and sometimes fatal reactions the serotonin syndrome or similar,MAOIs or RIMAs + Tricyclic and related antidepressants
15534,Monoamine Oxidase Inhibitors,tryptophan,1,Contraindicated,severe behavioural and neurological signs of toxicity,MAOIs + Tryptophan
15535,conivaptan,CYP3A4 Substrates,3,Avoid combination,may increase the serum concentration of CYP3A4 Substrates,Conivaptan: CYP3A4 Substrates
15536,fusidic acid,CYP3A4 Substrates,3,Avoid combination,may increase the serum concentration of CYP3A4 Substrates,Fusidic acid: CYP3A4 Substrates
15537,riociguat,Vasodilators Organic Nitrates,3,Avoid combination,may enhance the hypotensive effect of riociguat,Riociguat: Vasodilators (Organic Nitrates)
15538,Phosphodiesterase 5 Inhibitors,Vasodilators Organic Nitrates,3,Avoid combination,may enhance the vasodilatory effect of vasodilators,Phosphodiesterase 5 Inhibitors: Vasodilators (Organic Nitrates)
15539,cisapride,Strong CYP3A4 Inhibitors,3,Avoid combination,QT prolongation have been reported in patients taking cisapride with other drugs that inhibit CYP3A4,Strong CYP3A4 Inhibitors: cisapride
15542,Proton Pump Inhibitors,clopidogrel,3,Avoid combination,esomeprazole may diminish the antiplatelet effect of clopidogrel,Clopidogrel: Esomeprazole
15543,Proton Pump Inhibitors,dasatinib,3,Avoid combination,Proton Pump Inhibitors may decrease the serum concentration of Dasatinib,Dasatinib: Proton Pump Inhibitors
15544,Proton Pump Inhibitors,delavirdine,3,Avoid combination,Proton Pump Inhibitors may decrease the serum concentration of Delavirdine,Delavirdine: Proton Pump Inhibitors
15545,Proton Pump Inhibitors,erlotinib,3,Avoid combination,Proton Pump Inhibitors may decrease the serum concentration of Erlotinib,Erlotinib: Proton Pump Inhibitors
15546,Proton Pump Inhibitors,nelfinavir,3,Avoid combination,Proton Pump Inhibitors may decrease serum concentrations of the active metabolite(s) of Nelfinavir,Nelfinavir: Proton Pump Inhibitors
15547,Proton Pump Inhibitors,ponatinib,3,Avoid combination,Proton Pump Inhibitors may decrease the serum concentration of Ponatinib,Ponatinib: Proton Pump Inhibitors
15548,Proton Pump Inhibitors,rilpivirine,3,Avoid combination,Proton Pump Inhibitors may decrease the serum concentration of Rilpivirine,Rilpivirine: Proton Pump Inhibitors
15549,Proton Pump Inhibitors,risedronic acid,3,Avoid combination,Proton Pump Inhibitors may diminish the therapeutic effect of Risedronate,Risedronate: Proton Pump Inhibitors
15550,Moderate Risk QT Prolonging Agents,High Risk QT Prolonging Agents,3,Avoid combination,Moderate Risk QTc-Prolonging Agents may enhance the QTc-prolonging effect of Highest Risk QTc-Prolonging Agents,Highest Risk QTc-Prolonging Agents / Moderate Risk QTc-Prolonging Agents
15551,High Risk QT Prolonging Agents,High Risk QT Prolonging Agents,3,Avoid combination,Highest Risk QTc-Prolonging Agents may enhance the QTc-prolonging effect of other Highest Risk QTc-Prolonging Agents,Highest Risk QTc-Prolonging Agents / Highest Risk QTc-Prolonging Agents
1,amitriptyline,yohimbine,2,Significant,AMITRIPTYLINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],C56.2978
2,clomipramine,yohimbine,2,Significant,CLOMIPRAMINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],C56.2983
3,desipramine,yohimbine,2,Significant,DESIPRAMINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],C56.2986
4,nortriptyline,yohimbine,2,Significant,NORTRIPTYLINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],C56.3006
5,metformin,iodamide,2,Significant,IODAMIDE MEGLUMINE/METFORMIN HYDROCHLORIDE [VA Drug Interaction],C23305774076314
6,metformin,ioxaglic acid,2,Significant,IOXAGLATE/METFORMIN HYDROCHLORIDE [VA Drug Interaction],C23305793094373
7,atomoxetine,phenelzine,2,Critical,ATOMOXETINE HCL/PHENELZINE [VA Drug Interaction],C23306628985806
8,atomoxetine,tranylcypromine,2,Critical,ATOMOXETINE HCL/TRANYLCYPROMINE [VA Drug Interaction],C23306631033553
9,atomoxetine,fluoxetine,2,Significant,ATOMOXETINE HCL/FLUOXETINE [VA Drug Interaction],C23306697905739
10,atomoxetine,isocarboxazid,2,Critical,ATOMOXETINE HCL/ISOCARBOXAZID [VA Drug Interaction],C23306699863250
11,atomoxetine,paroxetine,2,Significant,ATOMOXETINE HCL/PAROXETINE [VA Drug Interaction],C23306701993689
12,atomoxetine,quinidine,2,Significant,ATOMOXETINE HCL/QUINIDINE [VA Drug Interaction],C23306704006514
13,atomoxetine,selegiline,2,Critical,ATOMOXETINE HCL/SELEGILINE [VA Drug Interaction],C23306706664673
14,atomoxetine,fosamprenavir,2,Significant,ATOMOXETINE HCL/FOSAMPRENAVIR [VA Drug Interaction],C23306708634477
15,gatifloxacin,pioglitazone,2,Critical,GATIFLOXACIN/PIOGLITAZONE HCL [VA Drug Interaction],C23308143128526
16,ciprofloxacin,sevelamer,2,Significant,CIPROFLOXACIN/SEVELAMER HCL [VA Drug Interaction],C56.3093
17,gemfibrozil,pioglitazone,2,Significant,GEMFIBROZIL/PIOGLITAZONE HCL [VA Drug Interaction],C56.3352
18,atomoxetine,linezolid,2,Critical,ATOMOXETINE HCL/LINEZOLID [VA Drug Interaction],C56^3852^
19,atomoxetine,bupropion,2,Significant,ATOMOXETINE HCL/BUPROPION [VA Drug Interaction],C56^5173^
20,atomoxetine,cinacalcet,2,Significant,ATOMOXETINE HCL/CINACALCET [VA Drug Interaction],C56^5174^
21,sevelamer,levothyroxine sodium,2,Significant,LEVOTHYROXINE SODIUM/SEVELAMER HCL [VA Drug Interaction],C56^7247^
22,sevelamer,liothyronine,2,Significant,LIOTHYRONINE SODIUM/SEVELAMER HCL [VA Drug Interaction],C56^7249^
23,atomoxetine,terbinafine,2,Significant,ATOMOXETINE HCL/TERBINAFINE HYDROCHLORIDE [VA Drug Interaction],C56^9093^
24,stavudine,zidovudine,2,Significant,STAVUDINE (d4T)/ZIDOVUDINE [VA Drug Interaction],C23305647556044
25,lansoprazole,zalcitabine,2,Significant,"LANSOPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305666201709
26,omeprazole,zalcitabine,2,Significant,"OMEPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305667926789
27,rabeprazole,zalcitabine,2,Significant,"RABEPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305669772834
28,ranitidine,zalcitabine,2,Significant,"RANITIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305672496085
29,famotidine,zalcitabine,2,Significant,"FAMOTIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305674256364
30,calcium carbonate,zalcitabine,2,Significant,"CALCIUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305675966079
31,aluminum carbonate,zalcitabine,2,Significant,"ALUMINUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305677902638
32,sucralfate,zalcitabine,2,Significant,"SUCRALFATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305679637495
33,algeldrate,zalcitabine,2,Significant,"ALUMINUM HYDROXIDE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305681547515
34,magnesium oxide,zalcitabine,2,Significant,"MAGNESIUM OXIDE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305701826908
35,magnesium carbonate,zalcitabine,2,Significant,"MAGNESIUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305704020203
36,pantoprazole,zalcitabine,2,Significant,"PANTOPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23305705853676
37,lamivudine,zalcitabine,2,Significant,"LAMIVUDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23306211650084
38,estropipate,phenobarbital,2,Critical,ESTROPIPATE/PHENOBARBITAL [VA Drug Interaction],C23304329890251
39,carbamazepine,estropipate,2,Critical,CARBAMAZEPINE/ESTROPIPATE [VA Drug Interaction],C23304343377719
40,estropipate,phenytoin,2,Significant,ESTROPIPATE/PHENYTOIN [VA Drug Interaction],C23304352824171
41,estropipate,fosphenytoin,2,Significant,ESTROPIPATE/FOSPHENYTOIN SODIUM [VA Drug Interaction],C23304363566598
42,cimetidine,zalcitabine,2,Significant,"CIMETIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23304597354133
43,estropipate,lamotrigine,2,Significant,ESTROPIPATE/LAMOTRIGINE [VA Drug Interaction],C23306392998551
44,ritonavir,estropipate,2,Critical,ESTROPIPATE/RITONAVIR [VA Drug Interaction],C56^4237^
45,estropipate,letrozole,2,Critical,ESTROPIPATE/LETROZOLE [VA Drug Interaction],C56^4678^
46,ulipristal acetate,estropipate,2,Significant,ESTROPIPATE/ULIPRISTAL ACETATE [VA Drug Interaction],C56^4994^
47,clobazam,estropipate,2,Significant,CLOBAZAM/ESTROPIPATE [VA Drug Interaction],C56^5931^
48,cobicistat,estropipate,2,Significant,COBICISTAT/ESTROPIPATE [VA Drug Interaction],C56^7266^
49,estropipate,atazanavir,2,Significant,ATAZANAVIR/ESTROPIPATE [VA Drug Interaction],C56^7610^
50,estropipate,darunavir,2,Significant,DARUNAVIR/ESTROPIPATE [VA Drug Interaction],C56^7611^
51,estropipate,fosamprenavir,2,Significant,ESTROPIPATE/FOSAMPRENAVIR [VA Drug Interaction],C56^7612^
52,estropipate,nelfinavir,2,Significant,ESTROPIPATE/NELFINAVIR MESYLATE [VA Drug Interaction],C56^7613^
53,estropipate,saquinavir,2,Significant,ESTROPIPATE/SAQUINAVIR [VA Drug Interaction],C56^7614^
54,estropipate,tipranavir,2,Significant,ESTROPIPATE/TIPRANAVIR [VA Drug Interaction],C56^7615^
55,amprenavir,estropipate,2,Significant,AMPRENAVIR/ESTROPIPATE [VA Drug Interaction],C56^8161^
56,dabrafenib,estropipate,2,Significant,DABRAFENIB/ESTROPIPATE [VA Drug Interaction],C56^8865^
57,mibefradil,terfenadine,2,Critical,MIBEFRADIL DIHYDROCHLORIDE/TERFENADINE [VA Drug Interaction],C23304238864716
58,crizotinib,mibefradil,2,Significant,CRIZOTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^5637^
59,dasatinib,mibefradil,2,Significant,DASATINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^5651^
60,lapatinib,mibefradil,2,Significant,LAPATINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^5664^
61,nilotinib,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/NILOTINIB [VA Drug Interaction],C56^5674^
62,pazopanib,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/PAZOPANIB [VA Drug Interaction],C56^5687^
63,sunitinib,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/SUNITINIB [VA Drug Interaction],C56^5697^
64,trazodone,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/TRAZODONE [VA Drug Interaction],C56^5921^
65,ruxolitinib,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/RUXOLITINIB [VA Drug Interaction],C56^5945^
66,maraviroc,mibefradil,2,Significant,MARAVIROC/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^5985^
67,romidepsin,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/ROMIDEPSIN [VA Drug Interaction],C56^6008^
68,ixabepilone,mibefradil,2,Significant,IXABEPILONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6024^
69,axitinib,mibefradil,2,Significant,AXITINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6050^
70,eplerenone,mibefradil,2,Critical,EPLERENONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6168^
71,saxagliptin,mibefradil,2,Critical,MIBEFRADIL DIHYDROCHLORIDE/SAXAGLIPTIN [VA Drug Interaction],C56^6430^
72,dronedarone,mibefradil,2,Critical,DRONEDARONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6442^
73,darifenacin,mibefradil,2,Significant,DARIFENACIN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6456^
74,fesoterodine,mibefradil,2,Significant,FESOTERODINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6466^
75,solifenacin,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/SOLIFENACIN SUCCINATE [VA Drug Interaction],C56^6481^
76,tolterodine,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/TOLTERODINE TARTRATE [VA Drug Interaction],C56^6497^
77,conivaptan,mibefradil,2,Critical,CONIVAPTAN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6507^
78,tolvaptan,mibefradil,2,Critical,MIBEFRADIL DIHYDROCHLORIDE/TOLVAPTAN [VA Drug Interaction],C56^6517^
79,mibefradil,tamsulosin,2,Critical,MIBEFRADIL DIHYDROCHLORIDE/TAMSULOSIN HYDROCHLORIDE [VA Drug Interaction],C56^6572^
80,mibefradil,silodosin,2,Critical,MIBEFRADIL DIHYDROCHLORIDE/SILODOSIN [VA Drug Interaction],C56^6573^
81,mibefradil,alfuzosin,2,Critical,ALFUZOSIN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6574^
82,mifepristone,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/MIFEPRISTONE [VA Drug Interaction],C56^6234^
83,colchicine,mibefradil,2,Significant,COLCHICINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6610^
84,fentanyl,mibefradil,2,Significant,FENTANYL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6647^
85,alfentanil,mibefradil,2,Significant,ALFENTANIL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6648^
86,oxycodone,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/OXYCODONE [VA Drug Interaction],C56^6649^
87,bromocriptine,mibefradil,2,Critical,BROMOCRIPTINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6998^
88,cabergoline,mibefradil,2,Critical,CABERGOLINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^7001^
89,methylergometrine,mibefradil,2,Critical,METHYLERGONOVINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^7006^
90,methysergide,mibefradil,2,Critical,METHYSERGIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^7009^
91,pergolide,mibefradil,2,Critical,MIBEFRADIL DIHYDROCHLORIDE/PERGOLIDE [VA Drug Interaction],C56^7012^
92,bosutinib,mibefradil,2,Significant,BOSUTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^7165^
93,tofacitinib,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/TOFACITINIB [VA Drug Interaction],C56^7450^
94,lomitapide,mibefradil,2,Critical,LOMITAPIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^7752^
95,ticagrelor,mibefradil,2,Critical,MIBEFRADIL DIHYDROCHLORIDE/TICAGRELOR [VA Drug Interaction],C56^7801^
96,cabozantinib,mibefradil,2,Significant,CABOZANTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^7699^
97,ponatinib,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/PONATINIB [VA Drug Interaction],C56^7714^
98,bedaquiline,mibefradil,2,Significant,BEDAQUILINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^8135^
99,dabrafenib,mibefradil,2,Significant,DABRAFENIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^8836^
100,aripiprazole,mibefradil,2,Significant,ARIPIPRAZOLE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^9066^
101,iloperidone,mibefradil,2,Significant,ILOPERIDONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^9068^
102,cabazitaxel,mibefradil,2,Significant,CABAZITAXEL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^9918^
103,docetaxel,mibefradil,2,Significant,DOCETAXEL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^9919^
104,ibrutinib,mibefradil,2,Significant,IBRUTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^9994^
105,simeprevir,mibefradil,2,Significant,MIBEFRADIL DIHYDROCHLORIDE/SIMEPREVIR [VA Drug Interaction],C56^10027^
106,astemizole,mibefradil,2,Critical,ASTEMIZOLE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C23304237227357
107,cisapride,mibefradil,2,Critical,CISAPRIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C23304240474138
108,pentaerithrityl tetranitrate,vardenafil,2,Critical,PENTAERYTHRITOL TETRANITRATE/VARDENAFIL [VA Drug Interaction],C23306484645394
109,riociguat,pentaerithrityl tetranitrate,2,Critical,PENTAERYTHRITOL TETRANITRATE/RIOCIGUAT [VA Drug Interaction],C56^9858^
110,pentaerithrityl tetranitrate,sildenafil,2,Critical,PENTAERYTHRITOL TETRANITRATE/SILDENAFIL CITRATE [VA Drug Interaction],C23304233283001
111,dexfenfluramine,tranylcypromine,2,Significant,DEXFENFLURAMINE HYDROCHLORIDE/TRANYLCYPROMINE [VA Drug Interaction],C23303808875988
112,dexfenfluramine,phenelzine,2,Significant,DEXFENFLURAMINE HYDROCHLORIDE/PHENELZINE [VA Drug Interaction],C23303810117207
113,dexfenfluramine,isocarboxazid,2,Significant,DEXFENFLURAMINE HYDROCHLORIDE/ISOCARBOXAZID [VA Drug Interaction],C23303811394464
114,dexfenfluramine,selegiline,2,Significant,DEXFENFLURAMINE HYDROCHLORIDE/SELEGILINE [VA Drug Interaction],C23303812504382
115,vortioxetine,dexfenfluramine,2,Critical,DEXFENFLURAMINE HYDROCHLORIDE/VORTIOXETINE [VA Drug Interaction],C56^9873^
116,didanosine,zalcitabine,2,Significant,"DIDANOSINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",C23303283261978
117,cimetidine,choline theophyllinate,2,Critical,CIMETIDINE/OXTRIPHYLLINE [VA Drug Interaction],C23303533559991
118,ciprofloxacin,choline theophyllinate,2,Critical,CIPROFLOXACIN/OXTRIPHYLLINE [VA Drug Interaction],C23303534457871
119,clarithromycin,choline theophyllinate,2,Critical,CLARITHROMYCIN/OXTRIPHYLLINE [VA Drug Interaction],C23303640093922
120,theophylline,oleandomycin,2,Critical,AMINOPHYLLINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23303163407639
122,astemizole,oleandomycin,2,Critical,ASTEMIZOLE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23303243977656
123,terfenadine,oleandomycin,2,Critical,OLEANDOMYCIN (AS TROLEANDOMYCIN)/TERFENADINE [VA Drug Interaction],C23303244969681
124,midazolam,oleandomycin,2,Significant,MIDAZOLAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23303248032641
125,triazolam,oleandomycin,2,Significant,OLEANDOMYCIN (AS TROLEANDOMYCIN)/TRIAZOLAM [VA Drug Interaction],C23303249335320
126,carbamazepine,oleandomycin,2,Significant,CARBAMAZEPINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23303506420508
127,cisapride,oleandomycin,2,Critical,CISAPRIDE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23303528867495
128,ciclosporin,oleandomycin,2,Critical,CYCLOSPORINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23303830678759
129,ergotamine,oleandomycin,2,Critical,ERGOTAMINE TARTRATE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23304137732309
130,alprazolam,oleandomycin,2,Significant,ALPRAZOLAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23304836110176
131,diazepam,oleandomycin,2,Significant,DIAZEPAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23304845341796
132,cilostazol,oleandomycin,2,Significant,CILOSTAZOL/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],C23305743618253
133,oleandomycin,pimozide,2,Critical,OLEANDOMYCIN (AS TROLEANDOMYCIN)/PIMOZIDE [VA Drug Interaction],C23306356885302
134,thiosalicylic acid,warfarin,2,Significant,SODIUM THIOSALICYLATE/WARFARIN [VA Drug Interaction],C23303087585712
135,anisindione,thiosalicylic acid,2,Critical,ANISINDIONE/SODIUM THIOSALICYLATE [VA Drug Interaction],C23303097475237
136,dicoumarol,thiosalicylic acid,2,Significant,DICUMAROL/SODIUM THIOSALICYLATE [VA Drug Interaction],C23303112778300
137,heparin,thiosalicylic acid,2,Significant,HEPARIN/SODIUM THIOSALICYLATE [VA Drug Interaction],C23303432074467
138,phenprocoumon,thiosalicylic acid,2,Critical,PHENPROCOUMON/SODIUM THIOSALICYLATE [VA Drug Interaction],C23304099754857
139,diltiazem,atazanavir,2,Significant,ATAZANAVIR SO4/DILTIAZEM [VA Drug Interaction],C23304614082516
140,atazanavir,tadalafil,2,Significant,ATAZANAVIR SO4/TADALAFIL [VA Drug Interaction],C23304710162045
141,atazanavir,tenofovir,2,Critical,ATAZANAVIR SO4/TENOFOVIR [VA Drug Interaction],C23306511155468
142,atazanavir,cimetidine,2,Significant,ATAZANAVIR SO4/CIMETIDINE [VA Drug Interaction],C23306545729694
143,atazanavir,esomeprazole,2,Critical,ATAZANAVIR SO4/ESOMEPRAZOLE [VA Drug Interaction],C23306547746990
144,atazanavir,famotidine,2,Significant,ATAZANAVIR SO4/FAMOTIDINE [VA Drug Interaction],C23306566322535
145,atazanavir,lansoprazole,2,Significant,ATAZANAVIR SO4/LANSOPRAZOLE [VA Drug Interaction],C23306568191208
146,atazanavir,nizatidine,2,Significant,ATAZANAVIR SO4/NIZATIDINE [VA Drug Interaction],C23306570211018
147,atazanavir,omeprazole,2,Critical,ATAZANAVIR SO4/OMEPRAZOLE [VA Drug Interaction],C23306572504885
148,atazanavir,rabeprazole,2,Critical,ATAZANAVIR SO4/RABEPRAZOLE [VA Drug Interaction],C23306574458206
149,atazanavir,ranitidine,2,Significant,ATAZANAVIR SO4/RANITIDINE [VA Drug Interaction],C23306578564314
150,atazanavir,ranitidine bismuth citrate,2,Significant,ATAZANAVIR SO4/RANITIDINE BISMUTH CITRATE [VA Drug Interaction],C23306580403095
151,atazanavir,rifampicin,2,Significant,ATAZANAVIR SO4/RIFAMPIN [VA Drug Interaction],C23306613003328
152,atazanavir,pantoprazole,2,Critical,ATAZANAVIR SO4/PANTOPRAZOLE [VA Drug Interaction],C23306689306881
153,atazanavir,delavirdine,2,Significant,ATAZANAVIR SO4/DELAVIRDINE MESYLATE [VA Drug Interaction],C23306691307694
154,atazanavir,sildenafil,2,Significant,ATAZANAVIR SO4/SILDENAFIL CITRATE [VA Drug Interaction],C23306693638996
155,atazanavir,vardenafil,2,Significant,ATAZANAVIR SO4/VARDENAFIL [VA Drug Interaction],C23306695869167
156,atazanavir,rifapentine,2,Significant,ATAZANAVIR SO4/RIFAPENTINE [VA Drug Interaction],C23306845143447
157,amiodarone,atazanavir,2,Significant,AMIODARONE/ATAZANAVIR SO4 [VA Drug Interaction],C23306876719806
158,atazanavir,indinavir,2,Critical,ATAZANAVIR SO4/INDINAVIR SULFATE [VA Drug Interaction],C23307113222211
159,atazanavir,erythromycin,2,Significant,ATAZANAVIR SO4/ERYTHROMYCIN [VA Drug Interaction],C23307368761392
160,atazanavir,erlotinib,2,Significant,ATAZANAVIR SO4/ERLOTINIB [VA Drug Interaction],C56.3086
161,atazanavir,clarithromycin,2,Significant,ATAZANAVIR SO4/CLARITHROMYCIN [VA Drug Interaction],C56.3132
162,atazanavir,didanosine,2,Significant,ATAZANAVIR SO4/DIDANOSINE [VA Drug Interaction],C56.3133
163,atazanavir,efavirenz,2,Significant,ATAZANAVIR SO4/EFAVIRENZ [VA Drug Interaction],C56.3134
164,atazanavir,irinotecan,2,Critical,ATAZANAVIR SO4/IRINOTECAN HYDROCHLORIDE [VA Drug Interaction],C56.3135
165,atazanavir,pimozide,2,Critical,ATAZANAVIR SO4/PIMOZIDE [VA Drug Interaction],C56.3136
166,atazanavir,fosamprenavir,2,Significant,ATAZANAVIR SO4/FOSAMPRENAVIR [VA Drug Interaction],C56.3243
167,atazanavir,ranolazine,2,Critical,ATAZANAVIR SO4/RANOLAZINE [VA Drug Interaction],C56.3244
168,atazanavir,sunitinib,2,Significant,ATAZANAVIR SO4/SUNITINIB [VA Drug Interaction],C56.3330
169,atazanavir,maraviroc,2,Significant,ATAZANAVIR SO4/MARAVIROC [VA Drug Interaction],C56.3453
