syn_id,id,name,preferred_name,parent_id,lname
23348,5397,anti-CD19 MAb-Viela-Bio,,,anti-cd19 mab-viela-bio
23349,5397,MEDI-551,,,medi-551
23350,5397,MT-0551,,,mt-0551
23351,5398,lurbinectedin,1,,lurbinectedin
23352,5398,zepzelca,,,zepzelca
23353,5398,PM01183,,,pm01183
23354,5398,PM-01183,,,pm-01183
23355,5398,LY-01017,,,ly-01017
23356,5398,PM-1183,,,pm-1183
23357,5398,tryptamicidin,,,tryptamicidin
23358,5398,zepsyre,,,zepsyre
23359,5399,triheptanoin,1,,triheptanoin
23360,5399,dojolvi,,,dojolvi
23361,5399,UX007,,,ux007
23362,5400,remimazolam,1,,remimazolam
23363,5400,remimazolam besylate,,,remimazolam besylate
23364,5400,byfavo,,,byfavo
23365,5400,CNS 7056,,,cns 7056
23366,5400,CNS 7056B,,,cns 7056b
23367,5400,ONO-2745BS,,,ono-2745bs
23368,5400,ONO-2745,,,ono-2745
23369,5400,anerem,,,anerem
23370,5400,aptimyda,,,aptimyda
23371,5401,fostemsavir,1,,fostemsavir
23372,5401,fostemsavir tromethamine,,,fostemsavir tromethamine
23373,5401,BMS-663068,,,bms-663068
23374,5401,GSK3684934,,,gsk3684934
23375,5401,rukobia,,,rukobia
23376,5401,BMS-663068-03,,,bms-663068-03
23377,5401,GSK-3684934A,,,gsk-3684934a
23378,5401,BMS-626529,,230,bms-626529
23379,5401,BMS 626529,,230,bms 626529
23380,5402,cedazuridine,,,cedazuridine
23381,5402,inqovi,1,,inqovi
23382,5402,C-DEC,,,c-dec
23383,5402,ASTX 727,,,astx 727
23384,5402,ASTX727 LD,,,astx727 ld
23385,5403,abametapir,1,,abametapir
23386,5403,xeglyze,,,xeglyze
23387,5403,Ha44,,,ha44
23388,5404,tafasitamab,1,,tafasitamab
23389,5404,tafasitamab-cxix,,,tafasitamab-cxix
23390,5404,monjuvi,,,monjuvi
23391,5404,MOR00208,,,mor00208
23392,5404,MOR-00208,,,mor-00208
23393,5404,MOR 208,,,mor 208
23394,5404,anti-CD19 MoAb XmAb5574,,,anti-cd19 moab xmab5574
23395,5404,XmAb5574,,,xmab5574
23396,5404,XmAb-5574,,,xmab-5574
23397,5404,XENP-5574,,,xenp-5574
23398,5405,belantamab mafodotin,1,,belantamab mafodotin
23399,5405,belantamab,,,belantamab
23400,5405,belantamab mafodotin-blmf,,,belantamab mafodotin-blmf
23401,5405,blenrep,,,blenrep
23402,5405,anti-BCMA-ADC,,,anti-bcma-adc
23403,5405,GSK2857914,,,gsk2857914
23404,5405,GSK-2857916,,,gsk-2857916
23405,5405,J6M0-mcMMAF,,,j6m0-mcmmaf
23406,1929,BAY A2502,,,bay a2502
23407,5406,oliceridine,1,,oliceridine
23408,5406,olinvyk,,,olinvyk
23409,5406,TRV130,,,trv130
23410,5406,TRV-130,,,trv-130
23411,5406,TRV 130A,,,trv 130a
23412,5406,olinvo,,,olinvo
23413,5407,risdiplam,1,,risdiplam
23414,5407,evrysdi,,,evrysdi
23415,5407,RG7916,,,rg7916
23416,5407,RO7034067,,,ro7034067
23417,5408,viltolarsen,1,,viltolarsen
23418,5408,viltepso,,,viltepso
23419,5408,NS-065/NCNP-01,,,ns-065/ncnp-01
23420,5408,NCNP-01,,,ncnp-01
23421,5408,NS 065,,,ns 065
23422,5409,satralizumab,1,,satralizumab
23423,5409,satralizumab-mwge,,,satralizumab-mwge
23424,5409,enspryng,,,enspryng
23425,5409,SA237,,,sa237
23426,5409,SA-237,,,sa-237
23427,5409,RG-6168,,,rg-6168
23428,5410,clascoterone,1,,clascoterone
23429,5410,winlevi,,,winlevi
23430,5410,CB-03-01,,,cb-03-01
23431,5410,breezula,,,breezula
23432,5410,cortexolone 17alpha-propionate ,,,cortexolone 17alpha-propionate 
23433,5411,copper dotatate Cu-64,,,copper dotatate cu-64
23434,5411,copper dotatate Cu64,,,copper dotatate cu64
23435,5411,copper dotatate,,,copper dotatate
23436,5411,detectnet,,,detectnet
23437,5412,pralsetinib,1,,pralsetinib
23438,5412,BLU-667,,,blu-667
23439,5412,BLU123244,,,blu123244
23440,5412,X581238,,,x581238
23441,5412,gavreto,,,gavreto
23442,5376,veklury,,,veklury
23443,5376,captisol-enabled remdesivir,,,captisol-enabled remdesivir
23444,5376,captisol-enabled GS 5734,,,captisol-enabled gs 5734
23445,5413,somapacitan,1,,somapacitan
23446,5413,somapacitan-beco,,,somapacitan-beco
23447,5413,sogroya,,,sogroya
23448,5413,NNC0195-0092,,,nnc0195-0092
23449,5413,NN8640,,,nn8640
23450,5414,lonafarnib,1,,lonafarnib
23451,5414,zokinvy,,,zokinvy
23452,5414,SCH 66336,,,sch 66336
23453,5414,SCH66336,,,sch66336
23454,5415,lumasiran,1,,lumasiran
23455,5415,oxlumo,,,oxlumo
23456,5415,ALN-G01,,,aln-g01
23457,5415,ALN-65585,,,aln-65585
23458,5415,AD-65585,,,ad-65585
23459,5415,lumasiran sodium,,,lumasiran sodium
23461,5416,setmelanotide,1,,setmelanotide
23462,5416,setmelanotide hydrochloride,,,setmelanotide hydrochloride
23463,5416,setmelanotide acetate,,,setmelanotide acetate
23464,5416,imcivree,,,imcivree
23465,5416,RM-493,,,rm-493
23466,5417,bulevirtide,1,,bulevirtide
23467,5417,bulevirtide acetate,,,bulevirtide acetate
23468,5417,hepcludex,,,hepcludex
23469,5417,myrcludex B,,,myrcludex b
23470,5418,imlifidase,1,,imlifidase
23471,5418,idefirix,,,idefirix
23472,5418,HMED-IdeS,,,hmed-ides
23473,5418,IdeS,,,ides
23474,5419,filgotinib,1,,filgotinib
23475,5419,filgotinib maleate,,,filgotinib maleate
23476,5419,jyseleca,,,jyseleca
23477,5419,filgotinib hydrochloride,,,filgotinib hydrochloride
23478,5419,G-146034,,,g-146034
23479,5419,G-146034-101,,,g-146034-101
23480,5419,GLPG-0634,,,glpg-0634
23481,5420,vadadustat,1,,vadadustat
23482,5420,vafseo,,,vafseo
23483,5420,AKB-6548,,,akb-6548
23484,5420,MT-6548,,,mt-6548
23485,5420,PG-1016548,,,pg-1016548
23486,5421,daprodustat,1,,daprodustat
23487,5421,duvroq,,,duvroq
23488,5421,GSK-1278863,,,gsk-1278863
23489,5421,GSK1278863,,,gsk1278863
23490,5421,GSK-1278863A,,,gsk-1278863a
23491,5421,1278863,,,1278863
23492,5422,borofalan (10B),1,,borofalan (10b)
23493,5422,steboronine,,,steboronine
23494,5422,boronophenylalanine B-10,,,boronophenylalanine b-10
23495,5422,SPM-011,,,spm-011
23496,5423,tirabrutinib,,,tirabrutinib
23497,5423,tirabrutinib hydrochloride,1,,tirabrutinib hydrochloride
23498,5423,velexbru,,,velexbru
23499,5423,GS-4059,,,gs-4059
23500,5423,ONO-4059,,,ono-4059
23501,5424,tepotinib,1,,tepotinib
23502,5424,tepotinib hydrochloride,,,tepotinib hydrochloride
23503,5424,tepmetko,,,tepmetko
23504,5424,EMD-1214063,,,emd-1214063
23505,5424,MSC-2156119,,,msc-2156119
23506,5424,MSC-2156119J,,,msc-2156119j
23507,5425,dotinurad,1,,dotinurad
23508,5425,urece,,,urece
23509,5425,FYU-981,,,fyu-981
23510,5426,delgocitinib,1,,delgocitinib
23511,5426,JTE-052,,,jte-052
23512,5426,JTE-052A,,,jte-052a
23513,5426,LEO 124249,,,leo 124249
23514,5426,LEO 124249A,,,leo 124249a
23515,5426,LP0133,,,lp0133
23516,5426,corectim,,,corectim
23517,5427,enarodustat,1,,enarodustat
23518,5427,enaroy,,,enaroy
23519,5427,JTZ-951,,,jtz-951
23520,5428,sofpironium bromide,1,,sofpironium bromide
23521,5428,sofpironium,,,sofpironium
23522,5428,ecclock,,,ecclock
23523,5428,BBI-4000,,,bbi-4000
23524,5429,gallium Ga68 PSMA-11,,,gallium ga68 psma-11
23525,5429,Ga68 PSMA-11,,,ga68 psma-11
23526,5429,gallium (68Ga) gozetotide,1,,gallium (68ga) gozetotide
23527,5430,berotralstat,1,,berotralstat
23528,5430,berotralstat hydrochloride,,,berotralstat hydrochloride
23529,5430,BCX7353,,,bcx7353
23530,5430,orladeyo,,,orladeyo
23531,5431,tirbanibulin,1,,tirbanibulin
23533,5431,tirbanibulin mesylate,,,tirbanibulin mesylate
23534,5431,KX01,,,kx01
23535,5431,KX-01,,,kx-01
23536,5431,KX2-391,,,kx2-391
23537,5431,klisyri,,,klisyri
23631,5432,relugolix,1,,relugolix
23632,5432,TAK-385,,,tak-385
23633,5432,orgovyx,,,orgovyx
23634,5432,relumina,,,relumina
23635,5432,RVT 601,,,rvt 601
23636,5433,ansuvimab,1,,ansuvimab
23637,5433,ansuvimab-zykl,,,ansuvimab-zykl
23638,5433,mAb114,,,mab114
23640,5433,VRC-EBOMAB092-00-AB,,,vrc-ebomab092-00-ab
23641,5433,EboV mAb114,,,ebov mab114
23642,5433,ebanga,,,ebanga
23643,5434,margetuximab,1,,margetuximab
23644,5434,margetuximab-cmkb,,,margetuximab-cmkb
23645,5434,margenza,,,margenza
23646,5434,MGAH22,,,mgah22
23647,5435,naxitamab,1,,naxitamab
23648,5435,naxitamab-gqgk,,,naxitamab-gqgk
23649,5435,danyelza,,,danyelza
23650,5435,hu3F8,,,hu3f8
23651,5435,hu3F8-IgG1,,,hu3f8-igg1
23652,5436,atoltivimab,,,atoltivimab
23653,5436,REGN3470,,,regn3470
23654,5436,inmazeb,,,inmazeb
23655,5437,maftivimab,,,maftivimab
23656,5437,REGN3479,,,regn3479
23658,5438,odesivimab,1,,odesivimab
23659,5438,odesivimab-ebgn,,,odesivimab-ebgn
23660,5438,REGN3471,,,regn3471
23662,5438,FG-102,,,fg-102
23663,5002,insulin lispro BS,,,insulin lispro bs
23664,5002,lyumjev,,,lyumjev
23665,4901,soliqua,,,soliqua
23666,760,neoral,,,neoral
23667,4684,perampanel hydrate,,,perampanel hydrate
23668,5346,upadacitinib hydrate,,,upadacitinib hydrate
23669,1545,rapibloc,,,rapibloc
23670,1545,onoact,,,onoact
23671,5267,rybelsus,,,rybelsus
23672,85,zovirax,,,zovirax
23675,104,ricobendazole,,,ricobendazole
23676,5439,vericiguat,1,,vericiguat
23677,5439,verquvo,,,verquvo
23678,5439,BAY 1021189,,,bay 1021189
23679,5439,MK-1242,,,mk-1242
23680,5440,cabotegravir,1,,cabotegravir
23681,5440,cabotegravir sodium,,,cabotegravir sodium
23682,5440,vocabria,,,vocabria
23683,5440,GSK1265744,,,gsk1265744
23684,4366,lupkynis,,,lupkynis
23685,4366,trans-R 1524,,,trans-r 1524
23686,4366,R-1524,,,r-1524
23687,4366,orelvo,,,orelvo
23688,4366,voclera,,,voclera
23689,5441,umbralisib,1,,umbralisib
23690,5441,umbralisib tosylate,,,umbralisib tosylate
23691,5441,ukoniq,,,ukoniq
23692,5441,TGR-1202,,,tgr-1202
23693,5442,trilaciclib,1,,trilaciclib
23694,5442,trilaciclib dihydrochloride,,,trilaciclib dihydrochloride
23695,5442,cosela,,,cosela
23696,5442,G1T28,,,g1t28
23697,5442,G1T28-1,,,g1t28-1
23698,5442,GB3RG-28-1,,,gb3rg-28-1
23699,5443,casimersen,1,,casimersen
23700,5443,amondys 45,,,amondys 45
23701,5443,SRP-4045,,,srp-4045
23702,5444,fosdenopterin,1,,fosdenopterin
23703,5444,fosdenopterin hydrobromide,,,fosdenopterin hydrobromide
23704,5444,GH-135,,,gh-135
23705,5444,nulibry,,,nulibry
23706,5444,ALXN1101,,,alxn1101
23707,5445,melphalan flufenamide,1,,melphalan flufenamide
23708,5445,melphalan flufenamide hydrochloride,,,melphalan flufenamide hydrochloride
23709,5445,pepaxto,,,pepaxto
23710,5445,melflufen,,,melflufen
23711,5445,J1,,,j1
23712,5445,CK 1535,,,ck 1535
23713,5446,ponesimod,1,,ponesimod
23714,5446,ponvory,,,ponvory
23715,5446,ACT-128800,,,act-128800
23716,5447,dasiglucagon,1,,dasiglucagon
23717,5447,dasiglucagon hydrochloride,,,dasiglucagon hydrochloride
23718,5447,zegalogue,,,zegalogue
23719,5447,ZP4207,,,zp4207
23720,5448,serdexmethylphenidate,1,231,serdexmethylphenidate
23721,5448,serdexmethylphenidate chloride,,,serdexmethylphenidate chloride
23722,5448,azstarys,,,azstarys
23723,5448,KP415 Cl,,,kp415 cl
23724,5449,evinacumab,1,,evinacumab
23725,5449,evinacumab-dgnb,,,evinacumab-dgnb
23726,5449,evkeeza,,,evkeeza
23727,5449,REGN1500,,,regn1500
23728,5450,estetrol,1,,estetrol
23729,5450,nextstellis,,,nextstellis
23730,5450,estetrol anhydrous,,,estetrol anhydrous
23731,5451,dostarlimab,1,,dostarlimab
23732,5451,dostarlimab-gxly,,,dostarlimab-gxly
23733,5451,jemperli,,,jemperli
23734,5451,TSR-042,,,tsr-042
23735,5451,WBP-285,,,wbp-285
23736,5452,loncastuximab tesirine,1,,loncastuximab tesirine
23737,5452,loncastuximab tesirine-lpyl,,,loncastuximab tesirine-lpyl
23738,5452,zynlonta,,,zynlonta
23739,5452,ADCT-402,,,adct-402
23740,2994,ogluo,,,ogluo
23741,4904,yuflym,,,yuflym
23742,5323,elzonris,,,elzonris
23743,1551,roclanda,,,roclanda
23744,5355,ontozry,,,ontozry
23745,5453,bamlanivimab,1,,bamlanivimab
23746,5453,LY-CoV555,,,ly-cov555
23747,5453,LY3819253,,,ly3819253
23748,5454,etesevimab,1,,etesevimab
23749,5454,LY-CoV016,,,ly-cov016
23750,5454,LY3832479,,,ly3832479
23751,5454,JS016,,,js016
23752,5454,CB6,,,cb6
23753,5454,NP005,,,np005
23754,5455,casirivimab,1,,casirivimab
23755,5455,REGN10933,,,regn10933
23756,5455,regen-cov,,,regen-cov
23757,5456,imdevimab,1,,imdevimab
23758,5456,REGN10987,,,regn10987
23760,5457,pegcetacoplan,1,,pegcetacoplan
23761,5457,empaveli,,,empaveli
23762,5457,APL-2,,,apl-2
23763,5458,piflufolastat F-18,1,,piflufolastat f-18
23764,5458,pylarify,,,pylarify
23765,5459,infigratinib,1,,infigratinib
23766,5459,infigratinib phosphate,,,infigratinib phosphate
23767,5459,truseltiq,,,truseltiq
23768,5459,BGJ-398,,,bgj-398
23769,5459,NVP-BGJ398,,,nvp-bgj398
23770,5460,samidorphan,1,,samidorphan
23771,5460,samidorphan L-malate,,,samidorphan l-malate
23772,5460,lybalvi,,,lybalvi
23773,5460,ALKS-33,,,alks-33
23774,5461,sotorasib,1,,sotorasib
23775,5461,lumakras,,,lumakras
23776,5461,AMG510,,,amg510
23777,5462,ibrexafungerp,1,,ibrexafungerp
23778,5462,ibrexafungerp citrate,,,ibrexafungerp citrate
23779,5462,brexafemme,,,brexafemme
23780,5462,SCY-078,,,scy-078
23781,5462,MK-3118,,,mk-3118
23782,5211,rivoceranib,,,rivoceranib
23783,5377,molnupiravir,,,molnupiravir
23140,5375,cepharanthine,1,,cepharanthine
23141,5375,cepharanthin,,,cepharanthin
23142,5376,remdesivir,1,,remdesivir
23143,5376,GS-5734,,,gs-5734
23144,5377,EIDD-2801,1,,eidd-2801
23148,5378,mefuparib,1,,mefuparib
23149,5378,mefuparib hydrochloride,,,mefuparib hydrochloride
23150,5378,CVL218,,,cvl218
23151,5377,N4-Hydroxycytidine,,229,n4-hydroxycytidine
23152,5377,Beta-D-N4-hydroxycytidine,,229,beta-d-n4-hydroxycytidine
23153,5377,NHC,,229,nhc
23154,5280,tavlesse,,,tavlesse
23155,5201,staquis,,,staquis
23156,5379,avapritinib,1,,avapritinib
23157,5379,BLU-285,,,blu-285
23158,5379,ayvakit,,,ayvakit
23159,5380,tazemetostat,1,,tazemetostat
23160,5380,tazemetostat hydrobromide,,,tazemetostat hydrobromide
23161,5380,tazverik,,,tazverik
23162,5380,EPZ-6438,,,epz-6438
23163,5380,EZ438,,,ez438
23164,5381,rimegepant,1,,rimegepant
23165,5381,rimegepant sulfate,,,rimegepant sulfate
23166,5381,BMS-927711,,,bms-927711
23167,5381,nurtec odt,,,nurtec odt
23168,5381,BHV-3000,,,bhv-3000
23169,179,barhemsys,,,barhemsys
23170,5382,bempedoic acid,1,,bempedoic acid
23171,5382,ETC-1002,,,etc-1002
23172,5382,ESP-55016,,,esp-55016
23173,5382,nexletol,,,nexletol
23174,1534,pizensy,,,pizensy
23175,5382,nilemdo,,,nilemdo
23176,5383,ozanimod,1,,ozanimod
23177,5383,RPC1063,,,rpc1063
23178,5383,RPC-1063,,,rpc-1063
23179,5383,ozanimod hydrochloride,,,ozanimod hydrochloride
23180,5384,osilodrostat,1,,osilodrostat
23181,5384,osilodrostat phosphate,,,osilodrostat phosphate
23182,5384,LCI699-NX,,,lci699-nx
23183,5384,LCI-699,,,lci-699
23184,5384,isturisa,,,isturisa
23185,5385,isatuximab,1,,isatuximab
23186,5385,isatuximab-irfc,,,isatuximab-irfc
23187,5385,sarclisa,,,sarclisa
23188,5385,SAR650984,,,sar650984
23189,5385,hu38SB19,,,hu38sb19
23190,5386,eptinezumab,1,,eptinezumab
23191,5386,eptinezumab-jjmr,,,eptinezumab-jjmr
23192,5386,vyepti,,,vyepti
23194,5386,ALD403,,,ald403
23195,5387,teprotumumab,1,,teprotumumab
23196,5387,teprotumumab-trbw,,,teprotumumab-trbw
23197,5387,tepezza,,,tepezza
23198,5387,RO4858696-000,,,ro4858696-000
23199,5387,R 1507,,,r 1507
23200,5387,RG 1507,,,rg 1507
23201,5388,selumetinib,1,,selumetinib
23202,5388,selumetinib sulfate,,,selumetinib sulfate
23203,5388,koselugo,,,koselugo
23204,5388,AZD6244,,,azd6244
23205,5388,ARRY-142886,,,arry-142886
23206,5389,tucatinib,1,,tucatinib
23207,5389,tukysa,,,tukysa
23208,5389,ARRY-380,,,arry-380
23209,5389,ONT-380,,,ont-380
23210,5390,pemigatinib,1,,pemigatinib
23211,5390,pemazyre,,,pemazyre
23212,5390,INCB054828,,,incb054828
22490,5253,RPX-7009,,,rpx-7009
22493,5003,insulin (human),,,insulin (human)
22494,5191,insulin (pork),,,insulin (pork)
22495,5192,insulin (beef),,,insulin (beef)
22496,1762,methyldopa (levorotatory),,,methyldopa (levorotatory)
22499,,clobetasone,,217,clobetasone
22500,5162,nadroparin,,,nadroparin
22501,4840,tinzaparin,,,tinzaparin
22502,3613,tocopherol (vit E),,,tocopherol (vit e)
22503,3911,eumovate,,,eumovate
22504,2181,pipamperone dihydrochloride,,,pipamperone dihydrochloride
22506,4378,NRDC 161,,,nrdc 161
22507,3470,U-27,,,u-27
22508,3578,arakoda,,,arakoda
22509,3578,krintafel,,,krintafel
22510,2073,LY231514,,,ly231514
22511,5179,kyntheum,,,kyntheum
22512,5185,Ga 68 dotatate,,,ga 68 dotatate
22513,5275,lutetium (177Lu) oxodotreotide,1,,lutetium (177lu) oxodotreotide
22515,4166,CDB-2914,,,cdb-2914
22516,175,McN-742,,,mcn-742
22517,5279,ibalizumab,1,,ibalizumab
22518,5279,TNX-355,,,tnx-355
22519,5279,TMB-355,,,tmb-355
22520,5279,trogarzo,,,trogarzo
22521,5279,ibalizumab-uiyk,,,ibalizumab-uiyk
22522,5236,cofrel,,,cofrel
22523,5280,fostamatinib,1,,fostamatinib
22525,5280,fostamatinib disodium,,,fostamatinib disodium
22526,5280,tavalisse,,,tavalisse
22527,5280,R935788,,,r935788
22528,5280,R788,,,r788
22529,202,SM-5887,,,sm-5887
22530,5281,tildrakizumab,1,,tildrakizumab
22531,5281,ilumya,,,ilumya
22532,5281,tildrakizumab-asmn,,,tildrakizumab-asmn
22533,5282,burosumab,1,,burosumab
22534,5282,KRN23,,,krn23
22535,5282,burosumab-twza,,,burosumab-twza
22536,,tamatinib,1,225,tamatinib
22537,,R406,,225,r406
22538,,R 406,,225,r 406
22539,5283,fosnetupitant,1,,fosnetupitant
22541,5283,07-PNET,,,07-pnet
22542,5283,08-PNET,,,08-pnet
22545,4995,epoetin alfa-epbx,,,epoetin alfa-epbx
22546,5284,erenumab,1,,erenumab
22547,5284,erenumab-aooe,,,erenumab-aooe
22548,5284,aimovig,,,aimovig
22549,5284,AMG 334,,,amg 334
22550,5284,AMG-334,,,amg-334
22551,5285,avatrombopag,1,,avatrombopag
22552,5285,avatrombopag maleate,,,avatrombopag maleate
22553,5285,E5501,,,e5501
22554,5285,E5501 maleate,,,e5501 maleate
22555,5285,AKR-501,,,akr-501
22556,5285,YM477,,,ym477
22557,5285,doptelet,,,doptelet
22558,4986,pegfilgrastim-jmdb,,,pegfilgrastim-jmdb
22559,4986,fulphila,,,fulphila
22560,5286,moxidectin,1,,moxidectin
22561,5287,plazomicin,1,,plazomicin
22562,5287,plazomicin sulfate,,,plazomicin sulfate
22563,5287,ACHN-490,,,achn-490
22564,5288,cannabidiol,1,,cannabidiol
22565,5288,GWP42003-P,,,gwp42003-p
22566,5288,epidiolex,,,epidiolex
22567,5289,encorafenib,1,,encorafenib
22568,5289,braftovi,,,braftovi
22569,5289,NVP-LGX818-NXA,,,nvp-lgx818-nxa
22570,5290,binimetinib,1,,binimetinib
22571,5290,mektovi,,,mektovi
22572,5290,MEK162,,,mek162
22573,5290,ARRY-162,,,arry-162
22574,5290,ARRY-438162,,,arry-438162
22576,5282,crysvita,,,crysvita
22582,5291,tecovirimat,1,,tecovirimat
22583,5291,tpoxx,,,tpoxx
22584,5291,siga-246,,,siga-246
22585,5292,ivosidenib,1,,ivosidenib
22586,5292,tibsovo,,,tibsovo
22587,5292,AG-120,,,ag-120
22588,5293,elagolix sodium,,,elagolix sodium
22589,5293,orilissa,,,orilissa
22590,5293,NBI-56418,,,nbi-56418
22591,5294,eravacycline dihydrochloride,1,,eravacycline dihydrochloride
22592,5294,xerava,,,xerava
22593,5294,TP-434,,,tp-434
22594,5295,doravirine,1,,doravirine
22595,5295,pifeltro,,,pifeltro
22596,5296,duvelisib,1,,duvelisib
22597,5296,copiktra,,,copiktra
22598,5296,IPI-145,,,ipi-145
22599,5296,INK-1197,,,ink-1197
22600,5297,dacomitinib,1,,dacomitinib
22601,5297,dacomitinib hydrate,,,dacomitinib hydrate
22602,5297,vizimpro,,,vizimpro
22603,5297,PF-00299804-03,,,pf-00299804-03
22604,5298,sarecycline,1,,sarecycline
22605,5298,sarecycline hydrochloride,,,sarecycline hydrochloride
22606,5298,seysara,,,seysara
22607,5298,P005672,,,p005672
22608,5299,omadacycline,1,,omadacycline
22609,5299,omadacycline tosylate,,,omadacycline tosylate
22610,5299,nuzyra,,,nuzyra
22611,5299,PTK 0796,,,ptk 0796
22612,5300,talazoparib tosylate,1,,talazoparib tosylate
22613,5300,talazoparib,,,talazoparib
22614,5300,talzenna,,,talzenna
22615,5300,BMN 673,,,bmn 673
22616,5301,baloxavir marboxil,1,,baloxavir marboxil
22617,5301,xofluza,,,xofluza
22618,5301,S-033188,,,s-033188
22619,5302,lorlatinib,1,,lorlatinib
22620,5302,lorbrena,,,lorbrena
22621,5302,PF-06463922,,,pf-06463922
22622,5303,revefenacin,1,,revefenacin
22623,5303,yupelri,,,yupelri
22624,5303,TD-4208,,,td-4208
22625,4817,aemcolo,,,aemcolo
22626,5304,glasdegib,1,,glasdegib
22627,5304,daurismo,,,daurismo
22628,5304,PF-04449913,,,pf-04449913
22629,5305,larotrectinib,1,,larotrectinib
22630,5305,vitrakvi,,,vitrakvi
22631,5305,LOXO-101,,,loxo-101
22632,5305,ARRY-470,,,arry-470
22633,5306,gilteritinib fumarate,,,gilteritinib fumarate
22634,5306,gilteritinib,1,,gilteritinib
22635,5306,xospata,,,xospata
22636,5306,ASP2215,,,asp2215
22637,3502,motegrity,,,motegrity
22638,5307,evocalcet,1,,evocalcet
22639,5307,orkedia,,,orkedia
22640,5307,KHK-7580,,,khk-7580
22641,5307,KHK7580,,,khk7580
22642,5307,MT-4580,,,mt-4580
22643,5295,MK-1439,,,mk-1439
22644,5293,BT-620,,,bt-620
22645,5296,ABBV-954,,,abbv-954
22646,5297,PF-00299804,,,pf-00299804
22647,5297,PF-299,,,pf-299
22648,5297,PF-299804,,,pf-299804
22649,5297,PF-804,,,pf-804
22650,5298,P0005672,,,p0005672
22651,5298,WC-3035,,,wc-3035
22652,5299,amadacycline,,,amadacycline
22653,5299,BAY 73-6944,,,bay 73-6944
22654,5299,BAY 73-7388,,,bay 73-7388
22655,5299,MK-2764,,,mk-2764
22656,5299,neopentyl aminomethylminocycline,,,neopentyl aminomethylminocycline
22657,5299,ZL 2401,,,zl 2401
22658,5300,BMN-673,,,bmn-673
22659,5300,BMN-673ts,,,bmn-673ts
22660,5300,LT 006673,,,lt 006673
22661,5300,LT-00673,,,lt-00673
22662,5300,LT-673,,,lt-673
22663,5300,MDV-3800,,,mdv-3800
22664,5301,S 033188,,,s 033188
22665,5301,RG 6152,,,rg 6152
22666,5291,ST-246,,,st-246
22667,5291,tecovirimat monohydrate,,,tecovirimat monohydrate
22668,5302,PF-6463922,,,pf-6463922
22669,5303,GSK 1160724,,,gsk 1160724
22670,5308,caplacizumab,1,,caplacizumab
22671,5308,ALX-0081,,,alx-0081
22672,5308,ALX-0681,,,alx-0681
22673,5308,calibvi,,,calibvi
22674,5309,lanadelumab,1,,lanadelumab
22675,5309,DX-2930,,,dx-2930
22676,5309,Lanadelumab-fyo,,,lanadelumab-fyo
22677,5309,SHP 643,,,shp 643
22678,5309,takhzyro,,,takhzyro
22679,5281,MK-3222,,,mk-3222
22680,5281,SCH-900222,,,sch-900222
22681,5281,SUNPG 1622,,,sunpg 1622
22682,5281,SUNPG 1623,,,sunpg 1623
22683,5310,condoliase,1,,condoliase
22684,5311,vibegron,1,,vibegron
22685,5311,beova,,,beova
22686,5311,MK-4618,,,mk-4618
22687,5311,RVT-901,,,rvt-901
22688,5311,KRP-114V,,,krp-114v
22689,5312,omidenepag isopropyl,1,,omidenepag isopropyl
22690,5312,omidenepag,,,omidenepag
22691,5312,DE-117,,,de-117
22692,5312,eybelis,,,eybelis
